wavelength(nm)         real         imag
100.00   3.81991956   0.00076524
102.00   3.81668462   0.00081208
104.00   3.81338564   0.00086079
106.00   3.81002263   0.00091140
108.00   3.80659559   0.00096397
110.00   3.80310452   0.00101852
112.00   3.79954943   0.00107508
114.00   3.79593031   0.00113371
116.00   3.79224716   0.00119442
118.00   3.78849999   0.00125727
120.00   3.78468880   0.00132228
122.00   3.78081359   0.00138950
124.00   3.77687436   0.00145896
126.00   3.77287111   0.00153069
128.00   3.76880385   0.00160473
130.00   3.76467258   0.00168113
132.00   3.76047730   0.00175991
134.00   3.75621800   0.00184112
136.00   3.75189470   0.00192478
138.00   3.74750740   0.00201094
140.00   3.74305609   0.00209964
142.00   3.73854078   0.00219090
144.00   3.73396147   0.00228477
146.00   3.72931817   0.00238129
148.00   3.72461086   0.00248048
150.00   3.71983957   0.00258239
152.00   3.71500428   0.00268706
154.00   3.71010501   0.00279451
156.00   3.70514174   0.00290479
158.00   3.70011450   0.00301794
160.00   3.69502327   0.00313398
162.00   3.68986806   0.00325296
164.00   3.68464887   0.00337492
166.00   3.67936570   0.00349988
168.00   3.67401856   0.00362789
170.00   3.66860746   0.00375898
172.00   3.66313238   0.00389319
174.00   3.65759333   0.00403056
176.00   3.65199032   0.00417113
178.00   3.64632335   0.00431492
180.00   3.64059243   0.00446197
182.00   3.63479754   0.00461234
184.00   3.62893870   0.00476604
186.00   3.62301591   0.00492311
188.00   3.61702917   0.00508360
190.00   3.61097848   0.00524754
192.00   3.60486385   0.00541496
194.00   3.59868528   0.00558591
196.00   3.59244277   0.00576042
198.00   3.58613633   0.00593852
200.00   3.57976595   0.00612025
202.00   3.57333165   0.00630566
204.00   3.56683341   0.00649477
206.00   3.56027125   0.00668762
208.00   3.55364517   0.00688425
210.00   3.54695518   0.00708469
212.00   3.54020126   0.00728899
214.00   3.53338344   0.00749718
216.00   3.52650170   0.00770929
218.00   3.51955606   0.00792536
220.00   3.51254651   0.00814543
222.00   3.50547307   0.00836954
224.00   3.49833572   0.00859772
226.00   3.49113448   0.00883000
228.00   3.48386935   0.00906643
230.00   3.47654034   0.00930705
232.00   3.46914743   0.00955187
234.00   3.46169065   0.00980096
236.00   3.45416999   0.01005433
238.00   3.44658545   0.01031203
240.00   3.43893704   0.01057410
242.00   3.43122477   0.01084057
244.00   3.42344863   0.01111147
246.00   3.41560862   0.01138685
248.00   3.40770476   0.01166673
250.00   3.39973705   0.01195117
252.00   3.39170548   0.01224018
254.00   3.38361007   0.01253382
256.00   3.37545081   0.01283211
258.00   3.36722771   0.01313510
260.00   3.35894077   0.01344281
262.00   3.35059000   0.01375529
264.00   3.34217541   0.01407257
266.00   3.33369698   0.01439469
268.00   3.32515473   0.01472169
270.00   3.31654867   0.01505360
272.00   3.30787879   0.01539045
274.00   3.29914510   0.01573230
276.00   3.29034760   0.01607916
278.00   3.28148630   0.01643108
280.00   3.27256120   0.01678809
282.00   3.26357230   0.01715024
284.00   3.25451962   0.01751755
286.00   3.24540314   0.01789006
288.00   3.23622288   0.01826782
290.00   3.22697884   0.01865085
292.00   3.21767103   0.01903920
294.00   3.20829944   0.01943289
296.00   3.19886409   0.01983197
298.00   3.18936497   0.02023647
300.00   3.17980210   0.02064643
302.00   3.17017547   0.02106189
304.00   3.16048509   0.02148288
306.00   3.15073096   0.02190943
308.00   3.14091309   0.02234159
310.00   3.13103148   0.02277940
312.00   3.12108614   0.02322287
314.00   3.11107707   0.02367207
316.00   3.10100428   0.02412701
318.00   3.09086776   0.02458774
320.00   3.08066753   0.02505429
322.00   3.07040359   0.02552670
324.00   3.06007594   0.02600501
326.00   3.04968458   0.02648925
328.00   3.03922953   0.02697945
330.00   3.02871079   0.02747566
332.00   3.01812836   0.02797792
334.00   3.00748224   0.02848625
336.00   2.99677244   0.02900069
338.00   2.98599897   0.02952129
340.00   2.97516183   0.03004807
342.00   2.96426102   0.03058108
344.00   2.95329655   0.03112034
346.00   2.94226843   0.03166590
348.00   2.93117665   0.03221779
350.00   2.92002123   0.03277605
352.00   2.90880217   0.03334072
354.00   2.89751947   0.03391182
356.00   2.88617314   0.03448941
358.00   2.87476318   0.03507350
360.00   2.86328960   0.03566415
362.00   2.85175240   0.03626138
364.00   2.84015160   0.03686524
366.00   2.82848718   0.03747575
368.00   2.81675917   0.03809296
370.00   2.80496755   0.03871691
372.00   2.79311235   0.03934762
374.00   2.78119356   0.03998513
376.00   2.76921119   0.04062948
378.00   2.75716525   0.04128071
380.00   2.74505573   0.04193885
382.00   2.73288265   0.04260395
384.00   2.72064601   0.04327602
386.00   2.70834582   0.04395512
388.00   2.69598208   0.04464128
390.00   2.68355479   0.04533453
392.00   2.67106396   0.04603491
394.00   2.65850961   0.04674246
396.00   2.64589172   0.04745720
398.00   2.63321032   0.04817919
400.00   2.62046539   0.04890846
402.00   2.60765696   0.04964503
404.00   2.59478502   0.05038895
406.00   2.58184958   0.05114026
408.00   2.56885065   0.05189899
410.00   2.55578823   0.05266517
412.00   2.54266233   0.05343884
414.00   2.52947295   0.05422005
416.00   2.51622010   0.05500881
418.00   2.50290379   0.05580518
420.00   2.48952402   0.05660919
422.00   2.47608079   0.05742087
424.00   2.46257411   0.05824025
426.00   2.44900400   0.05906739
428.00   2.43537045   0.05990230
430.00   2.42167346   0.06074503
432.00   2.40791306   0.06159562
434.00   2.39408923   0.06245409
436.00   2.38020200   0.06332049
438.00   2.36625136   0.06419486
440.00   2.35223732   0.06507722
442.00   2.33815988   0.06596761
444.00   2.32401906   0.06686608
446.00   2.30981486   0.06777265
448.00   2.29554728   0.06868737
450.00   2.28121633   0.06961026
452.00   2.26682202   0.07054137
454.00   2.25236435   0.07148073
456.00   2.23784334   0.07242837
458.00   2.22325898   0.07338434
460.00   2.20861128   0.07434867
462.00   2.19390025   0.07532139
464.00   2.17912590   0.07630254
466.00   2.16428823   0.07729216
468.00   2.14938724   0.07829029
470.00   2.13442296   0.07929695
472.00   2.11939537   0.08031218
474.00   2.10430449   0.08133603
476.00   2.08915033   0.08236852
478.00   2.07393288   0.08340970
480.00   2.05865217   0.08445960
482.00   2.04330819   0.08551825
484.00   2.02790095   0.08658569
486.00   2.01243045   0.08766196
488.00   1.99689672   0.08874709
490.00   1.98129974   0.08984112
492.00   1.96563953   0.09094408
494.00   1.94991610   0.09205602
496.00   1.93412944   0.09317696
498.00   1.91827958   0.09430694
500.00   1.90236651   0.09544600
502.00   1.88639025   0.09659418
504.00   1.87035079   0.09775151
506.00   1.85424815   0.09891802
508.00   1.83808233   0.10009375
510.00   1.82185335   0.10127874
512.00   1.80556120   0.10247303
514.00   1.78920589   0.10367664
516.00   1.77278744   0.10488962
518.00   1.75630585   0.10611200
520.00   1.73976112   0.10734382
522.00   1.72315327   0.10858511
524.00   1.70648229   0.10983591
526.00   1.68974820   0.11109626
528.00   1.67295101   0.11236618
530.00   1.65609072   0.11364572
532.00   1.63916734   0.11493492
534.00   1.62218088   0.11623380
536.00   1.60513134   0.11754240
538.00   1.58801873   0.11886076
540.00   1.57084307   0.12018892
542.00   1.55360435   0.12152691
544.00   1.53630258   0.12287477
546.00   1.51893777   0.12423253
548.00   1.50150994   0.12560022
