wavelength(nm)         real         imag
100.00   3.87302559   0.00025776
102.00   3.87193592   0.00027354
104.00   3.87082469   0.00028995
106.00   3.86969189   0.00030700
108.00   3.86853752   0.00032470
110.00   3.86736159   0.00034308
112.00   3.86616408   0.00036213
114.00   3.86494501   0.00038188
116.00   3.86370438   0.00040233
118.00   3.86244217   0.00042350
120.00   3.86115841   0.00044540
122.00   3.85985307   0.00046804
124.00   3.85852618   0.00049144
126.00   3.85717772   0.00051560
128.00   3.85580770   0.00054054
130.00   3.85441611   0.00056627
132.00   3.85300297   0.00059281
134.00   3.85156826   0.00062016
136.00   3.85011200   0.00064835
138.00   3.84863417   0.00067737
140.00   3.84713478   0.00070725
142.00   3.84561384   0.00073799
144.00   3.84407134   0.00076961
146.00   3.84250728   0.00080212
148.00   3.84092167   0.00083553
150.00   3.83931450   0.00086986
152.00   3.83768577   0.00090511
154.00   3.83603549   0.00094131
156.00   3.83436366   0.00097846
158.00   3.83267028   0.00101657
160.00   3.83095534   0.00105566
162.00   3.82921885   0.00109573
164.00   3.82746081   0.00113681
166.00   3.82568122   0.00117890
168.00   3.82388008   0.00122202
170.00   3.82205740   0.00126618
172.00   3.82021316   0.00131139
174.00   3.81834738   0.00135766
176.00   3.81646006   0.00140501
178.00   3.81455119   0.00145344
180.00   3.81262077   0.00150298
182.00   3.81066882   0.00155363
184.00   3.80869532   0.00160540
186.00   3.80670027   0.00165831
188.00   3.80468369   0.00171237
190.00   3.80264557   0.00176759
192.00   3.80058591   0.00182398
194.00   3.79850471   0.00188157
196.00   3.79640198   0.00194035
198.00   3.79427770   0.00200034
200.00   3.79213190   0.00206156
202.00   3.78996455   0.00212401
204.00   3.78777568   0.00218771
206.00   3.78556527   0.00225267
208.00   3.78333333   0.00231890
210.00   3.78107987   0.00238642
212.00   3.77880487   0.00245523
214.00   3.77650834   0.00252536
216.00   3.77419029   0.00259681
218.00   3.77185071   0.00266959
220.00   3.76948960   0.00274372
222.00   3.76710697   0.00281921
224.00   3.76470282   0.00289607
226.00   3.76227714   0.00297431
228.00   3.75982995   0.00305395
230.00   3.75736123   0.00313500
232.00   3.75487099   0.00321747
234.00   3.75235924   0.00330137
236.00   3.74982597   0.00338672
238.00   3.74727118   0.00347352
240.00   3.74469488   0.00356180
242.00   3.74209707   0.00365155
244.00   3.73947774   0.00374280
246.00   3.73683690   0.00383556
248.00   3.73417455   0.00392984
250.00   3.73149070   0.00402565
252.00   3.72878533   0.00412300
254.00   3.72605846   0.00422191
256.00   3.72331008   0.00432239
258.00   3.72054020   0.00442445
260.00   3.71774882   0.00452810
262.00   3.71493594   0.00463335
264.00   3.71210155   0.00474023
266.00   3.70924566   0.00484873
268.00   3.70636828   0.00495888
270.00   3.70346940   0.00507068
272.00   3.70054903   0.00518414
274.00   3.69760716   0.00529929
276.00   3.69464380   0.00541613
278.00   3.69165894   0.00553467
280.00   3.68865260   0.00565493
282.00   3.68562477   0.00577691
284.00   3.68257544   0.00590064
286.00   3.67950464   0.00602612
288.00   3.67641235   0.00615336
290.00   3.67329857   0.00628238
292.00   3.67016331   0.00641319
294.00   3.66700657   0.00654580
296.00   3.66382836   0.00668023
298.00   3.66062866   0.00681648
300.00   3.65740749   0.00695457
302.00   3.65416484   0.00709452
304.00   3.65090072   0.00723632
306.00   3.64761512   0.00738001
308.00   3.64430806   0.00752558
310.00   3.64097952   0.00767304
312.00   3.63762952   0.00782243
314.00   3.63425805   0.00797373
316.00   3.63086511   0.00812698
318.00   3.62745072   0.00828217
320.00   3.62401485   0.00843932
322.00   3.62055753   0.00859845
324.00   3.61707875   0.00875956
326.00   3.61357851   0.00892268
328.00   3.61005682   0.00908780
330.00   3.60651367   0.00925494
332.00   3.60294907   0.00942412
334.00   3.59936301   0.00959535
336.00   3.59575551   0.00976864
338.00   3.59212656   0.00994399
340.00   3.58847616   0.01012144
342.00   3.58480432   0.01030097
344.00   3.58111103   0.01048262
346.00   3.57739630   0.01066639
348.00   3.57366013   0.01085229
350.00   3.56990252   0.01104033
352.00   3.56612347   0.01123054
354.00   3.56232299   0.01142291
356.00   3.55850108   0.01161746
358.00   3.55465773   0.01181421
360.00   3.55079296   0.01201316
362.00   3.54690675   0.01221434
364.00   3.54299912   0.01241774
366.00   3.53907006   0.01262339
368.00   3.53511958   0.01283129
370.00   3.53114767   0.01304146
372.00   3.52715435   0.01325391
374.00   3.52313961   0.01346865
376.00   3.51910345   0.01368569
378.00   3.51504587   0.01390506
380.00   3.51096689   0.01412674
382.00   3.50686649   0.01435078
384.00   3.50274468   0.01457716
386.00   3.49860147   0.01480591
388.00   3.49443684   0.01503703
390.00   3.49025082   0.01527055
392.00   3.48604339   0.01550647
394.00   3.48181456   0.01574480
396.00   3.47756434   0.01598555
398.00   3.47329271   0.01622875
400.00   3.46899970   0.01647440
402.00   3.46468528   0.01672251
404.00   3.46034948   0.01697309
406.00   3.45599229   0.01722616
408.00   3.45161371   0.01748173
410.00   3.44721375   0.01773981
412.00   3.44279240   0.01800042
414.00   3.43834967   0.01826356
416.00   3.43388556   0.01852925
418.00   3.42940007   0.01879750
420.00   3.42489321   0.01906832
422.00   3.42036497   0.01934173
424.00   3.41581537   0.01961773
426.00   3.41124439   0.01989634
428.00   3.40665204   0.02017758
430.00   3.40203833   0.02046145
432.00   3.39740326   0.02074796
434.00   3.39274682   0.02103713
436.00   3.38806902   0.02132897
438.00   3.38336987   0.02162349
440.00   3.37864936   0.02192071
442.00   3.37390749   0.02222063
444.00   3.36914428   0.02252327
446.00   3.36435971   0.02282864
448.00   3.35955380   0.02313675
450.00   3.35472655   0.02344762
452.00   3.34987795   0.02376126
454.00   3.34500800   0.02407767
456.00   3.34011672   0.02439688
458.00   3.33520411   0.02471889
460.00   3.33027015   0.02504371
462.00   3.32531487   0.02537137
464.00   3.32033826   0.02570186
466.00   3.31534031   0.02603520
468.00   3.31032104   0.02637141
470.00   3.30528045   0.02671050
472.00   3.30021854   0.02705247
474.00   3.29513530   0.02739735
476.00   3.29003075   0.02774513
478.00   3.28490489   0.02809585
480.00   3.27975771   0.02844949
482.00   3.27458922   0.02880609
484.00   3.26939942   0.02916565
486.00   3.26418832   0.02952818
488.00   3.25895591   0.02989370
490.00   3.25370220   0.03026221
492.00   3.24842720   0.03063374
494.00   3.24313089   0.03100828
496.00   3.23781329   0.03138586
498.00   3.23247440   0.03176649
500.00   3.22711422   0.03215017
502.00   3.22173275   0.03253692
504.00   3.21633000   0.03292676
506.00   3.21090596   0.03331969
508.00   3.20546064   0.03371573
510.00   3.19999405   0.03411488
512.00   3.19450618   0.03451716
514.00   3.18899703   0.03492259
516.00   3.18346662   0.03533117
518.00   3.17791493   0.03574292
520.00   3.17234198   0.03615785
522.00   3.16674777   0.03657597
524.00   3.16113229   0.03699729
526.00   3.15549556   0.03742183
528.00   3.14983757   0.03784959
530.00   3.14415832   0.03828059
532.00   3.13845783   0.03871484
534.00   3.13273608   0.03915236
