wavelength(nm)         real         imag
100.00   3.71724790   0.00174636
102.00   3.70986542   0.00185325
104.00   3.70233680   0.00196441
106.00   3.69466206   0.00207992
108.00   3.68684119   0.00219988
110.00   3.67887420   0.00232436
112.00   3.67076109   0.00245346
114.00   3.66250187   0.00258724
116.00   3.65409654   0.00272580
118.00   3.64554510   0.00286923
120.00   3.63684755   0.00301759
122.00   3.62800391   0.00317099
124.00   3.61901417   0.00332949
126.00   3.60987834   0.00349319
128.00   3.60059642   0.00366217
130.00   3.59116841   0.00383652
132.00   3.58159433   0.00401630
134.00   3.57187417   0.00420162
136.00   3.56200794   0.00439256
138.00   3.55199564   0.00458919
140.00   3.54183728   0.00479160
142.00   3.53153287   0.00499987
144.00   3.52108240   0.00521410
146.00   3.51048588   0.00543435
148.00   3.49974331   0.00566073
150.00   3.48885471   0.00589330
152.00   3.47782007   0.00613215
154.00   3.46663940   0.00637738
156.00   3.45531271   0.00662905
158.00   3.44383999   0.00688726
160.00   3.43222126   0.00715208
162.00   3.42045652   0.00742361
164.00   3.40854578   0.00770192
166.00   3.39648903   0.00798710
168.00   3.38428630   0.00827923
170.00   3.37193757   0.00857840
172.00   3.35944286   0.00888468
174.00   3.34680217   0.00919817
176.00   3.33401550   0.00951895
178.00   3.32108288   0.00984710
180.00   3.30800429   0.01018270
182.00   3.29477974   0.01052584
184.00   3.28140924   0.01087660
186.00   3.26789280   0.01123507
188.00   3.25423042   0.01160132
190.00   3.24042211   0.01197544
192.00   3.22646788   0.01235752
194.00   3.21236772   0.01274764
196.00   3.19812165   0.01314589
198.00   3.18372967   0.01355233
200.00   3.16919180   0.01396707
202.00   3.15450802   0.01439018
204.00   3.13967836   0.01482175
206.00   3.12470282   0.01526186
208.00   3.10958140   0.01571059
210.00   3.09431411   0.01616803
212.00   3.07890096   0.01663425
214.00   3.06334195   0.01710936
216.00   3.04763710   0.01759342
218.00   3.03178640   0.01808652
220.00   3.01578987   0.01858875
222.00   2.99964751   0.01910018
224.00   2.98335933   0.01962091
226.00   2.96692534   0.02015101
228.00   2.95034554   0.02069057
230.00   2.93361994   0.02123967
232.00   2.91674855   0.02179839
234.00   2.89973138   0.02236683
236.00   2.88256843   0.02294506
238.00   2.86525971   0.02353316
240.00   2.84780523   0.02413122
242.00   2.83020499   0.02473933
244.00   2.81245901   0.02535756
246.00   2.79456729   0.02598600
248.00   2.77652983   0.02662473
250.00   2.75834666   0.02727383
252.00   2.74001777   0.02793340
254.00   2.72154317   0.02860351
256.00   2.70292287   0.02928424
258.00   2.68415689   0.02997569
260.00   2.66524522   0.03067793
262.00   2.64618787   0.03139104
264.00   2.62698486   0.03211511
266.00   2.60763619   0.03285023
268.00   2.58814188   0.03359647
270.00   2.56850192   0.03435392
272.00   2.54871633   0.03512266
274.00   2.52878512   0.03590277
276.00   2.50870829   0.03669435
278.00   2.48848586   0.03749747
280.00   2.46811783   0.03831221
282.00   2.44760421   0.03913867
284.00   2.42694501   0.03997691
286.00   2.40614024   0.04082703
288.00   2.38518992   0.04168911
290.00   2.36409403   0.04256323
292.00   2.34285261   0.04344947
294.00   2.32146566   0.04434792
296.00   2.29993318   0.04525867
298.00   2.27825518   0.04618179
300.00   2.25643168   0.04711736
302.00   2.23446269   0.04806548
304.00   2.21234820   0.04902621
306.00   2.19008825   0.04999966
308.00   2.16768282   0.05098590
310.00   2.14513194   0.05198501
312.00   2.12243562   0.05299707
314.00   2.09959385   0.05402218
316.00   2.07660666   0.05506040
318.00   2.05347405   0.05611183
320.00   2.03019604   0.05717656
322.00   2.00677263   0.05825465
324.00   1.98320383   0.05934619
326.00   1.95948965   0.06045128
328.00   1.93563011   0.06156998
330.00   1.91162522   0.06270239
332.00   1.88747498   0.06384859
334.00   1.86317940   0.06500865
336.00   1.83873851   0.06618267
338.00   1.81415230   0.06737073
340.00   1.78942078   0.06857290
342.00   1.76454398   0.06978927
344.00   1.73952189   0.07101993
346.00   1.71435454   0.07226496
348.00   1.68904193   0.07352443
350.00   1.66358407   0.07479844
352.00   1.63798097   0.07608707
354.00   1.61223265   0.07739039
356.00   1.58633911   0.07870850
358.00   1.56030037   0.08004147
360.00   1.53411644   0.08138939
362.00   1.50778733   0.08275234
364.00   1.48131305   0.08413040
366.00   1.45469362   0.08552366
368.00   1.42792904   0.08693220
370.00   1.40101933   0.08835610
372.00   1.37396449   0.08979545
374.00   1.34676455   0.09125032
376.00   1.31941950   0.09272080
378.00   1.29192937   0.09420698
380.00   1.26429417   0.09570893
382.00   1.23651390   0.09722674
384.00   1.20858859   0.09876049
