wavelength(nm)         real         imag
100.00   3.88364679   0.00015627
102.00   3.88298619   0.00016583
104.00   3.88231250   0.00017578
106.00   3.88162574   0.00018612
108.00   3.88092591   0.00019685
110.00   3.88021300   0.00020799
112.00   3.87948701   0.00021954
114.00   3.87874795   0.00023151
116.00   3.87799582   0.00024391
118.00   3.87723061   0.00025675
120.00   3.87645233   0.00027002
122.00   3.87566097   0.00028375
124.00   3.87485654   0.00029793
126.00   3.87403904   0.00031258
128.00   3.87320847   0.00032770
130.00   3.87236482   0.00034330
132.00   3.87150810   0.00035939
134.00   3.87063831   0.00037597
136.00   3.86975545   0.00039306
138.00   3.86885952   0.00041065
140.00   3.86795052   0.00042877
142.00   3.86702845   0.00044740
144.00   3.86609331   0.00046657
146.00   3.86514511   0.00048628
148.00   3.86418383   0.00050654
150.00   3.86320948   0.00052735
152.00   3.86222207   0.00054872
154.00   3.86122159   0.00057067
156.00   3.86020804   0.00059319
158.00   3.85918143   0.00061629
160.00   3.85814175   0.00063999
162.00   3.85708901   0.00066429
164.00   3.85602320   0.00068919
166.00   3.85494432   0.00071471
168.00   3.85385239   0.00074085
170.00   3.85274739   0.00076762
172.00   3.85162932   0.00079503
174.00   3.85049819   0.00082308
176.00   3.84935401   0.00085178
178.00   3.84819676   0.00088115
180.00   3.84702644   0.00091118
182.00   3.84584307   0.00094188
184.00   3.84464664   0.00097327
186.00   3.84343715   0.00100535
188.00   3.84221460   0.00103812
190.00   3.84097899   0.00107160
192.00   3.83973032   0.00110579
194.00   3.83846860   0.00114070
196.00   3.83719382   0.00117633
198.00   3.83590598   0.00121270
200.00   3.83460508   0.00124982
202.00   3.83329114   0.00128768
204.00   3.83196413   0.00132629
206.00   3.83062408   0.00136568
208.00   3.82927097   0.00140583
210.00   3.82790480   0.00144676
212.00   3.82652559   0.00148848
214.00   3.82513332   0.00153100
216.00   3.82372800   0.00157431
218.00   3.82230964   0.00161844
220.00   3.82087822   0.00166338
222.00   3.81943375   0.00170914
224.00   3.81797624   0.00175574
226.00   3.81650567   0.00180317
228.00   3.81502206   0.00185145
230.00   3.81352541   0.00190059
232.00   3.81201570   0.00195059
234.00   3.81049296   0.00200145
236.00   3.80895716   0.00205319
238.00   3.80740833   0.00210582
240.00   3.80584645   0.00215933
242.00   3.80427153   0.00221375
244.00   3.80268356   0.00226907
246.00   3.80108256   0.00232530
248.00   3.79946851   0.00238246
250.00   3.79784143   0.00244054
252.00   3.79620130   0.00249956
254.00   3.79454814   0.00255953
256.00   3.79288194   0.00262044
258.00   3.79120270   0.00268231
260.00   3.78951043   0.00274515
262.00   3.78780512   0.00280896
264.00   3.78608678   0.00287376
266.00   3.78435540   0.00293954
268.00   3.78261099   0.00300631
270.00   3.78085355   0.00307409
272.00   3.77908307   0.00314288
274.00   3.77729957   0.00321269
276.00   3.77550303   0.00328352
278.00   3.77369347   0.00335539
280.00   3.77187088   0.00342829
282.00   3.77003526   0.00350225
284.00   3.76818661   0.00357725
286.00   3.76632494   0.00365333
288.00   3.76445024   0.00373047
290.00   3.76256252   0.00380869
292.00   3.76066177   0.00388799
294.00   3.75874800   0.00396839
296.00   3.75682121   0.00404988
298.00   3.75488140   0.00413248
300.00   3.75292857   0.00421620
302.00   3.75096271   0.00430104
304.00   3.74898384   0.00438701
306.00   3.74699196   0.00447412
308.00   3.74498705   0.00456237
310.00   3.74296913   0.00465177
312.00   3.74093819   0.00474234
314.00   3.73889424   0.00483407
316.00   3.73683728   0.00492697
318.00   3.73476731   0.00502106
320.00   3.73268432   0.00511633
322.00   3.73058832   0.00521280
324.00   3.72847932   0.00531048
326.00   3.72635730   0.00540936
328.00   3.72422228   0.00550947
330.00   3.72207425   0.00561080
332.00   3.71991321   0.00571336
334.00   3.71773917   0.00581717
336.00   3.71555212   0.00592222
338.00   3.71335208   0.00602854
340.00   3.71113903   0.00613611
342.00   3.70891298   0.00624495
344.00   3.70667392   0.00635508
346.00   3.70442187   0.00646649
348.00   3.70215682   0.00657919
350.00   3.69987878   0.00669319
352.00   3.69758774   0.00680850
354.00   3.69528370   0.00692513
356.00   3.69296667   0.00704307
358.00   3.69063664   0.00716235
360.00   3.68829363   0.00728297
362.00   3.68593762   0.00740493
364.00   3.68356862   0.00752824
366.00   3.68118663   0.00765291
368.00   3.67879166   0.00777895
370.00   3.67638370   0.00790637
372.00   3.67396275   0.00803517
374.00   3.67152882   0.00816535
376.00   3.66908190   0.00829694
378.00   3.66662200   0.00842992
380.00   3.66414912   0.00856432
382.00   3.66166326   0.00870014
384.00   3.65916442   0.00883739
386.00   3.65665260   0.00897606
388.00   3.65412780   0.00911618
390.00   3.65159003   0.00925775
392.00   3.64903928   0.00940078
394.00   3.64647556   0.00954527
396.00   3.64389886   0.00969122
398.00   3.64130919   0.00983866
400.00   3.63870656   0.00998758
402.00   3.63609095   0.01013800
404.00   3.63346237   0.01028992
406.00   3.63082083   0.01044334
408.00   3.62816632   0.01059828
410.00   3.62549885   0.01075474
412.00   3.62281841   0.01091273
414.00   3.62012501   0.01107226
416.00   3.61741865   0.01123334
418.00   3.61469933   0.01139596
420.00   3.61196705   0.01156015
422.00   3.60922181   0.01172590
424.00   3.60646362   0.01189323
426.00   3.60369247   0.01206214
428.00   3.60090836   0.01223263
430.00   3.59811131   0.01240473
432.00   3.59530130   0.01257843
434.00   3.59247834   0.01275373
436.00   3.58964243   0.01293066
438.00   3.58679357   0.01310922
440.00   3.58393177   0.01328940
442.00   3.58105702   0.01347123
444.00   3.57816932   0.01365471
446.00   3.57526869   0.01383984
448.00   3.57235511   0.01402663
450.00   3.56942859   0.01421509
452.00   3.56648913   0.01440524
454.00   3.56353673   0.01459706
456.00   3.56057140   0.01479058
458.00   3.55759313   0.01498580
460.00   3.55460193   0.01518272
462.00   3.55159779   0.01538136
464.00   3.54858073   0.01558172
466.00   3.54555073   0.01578381
468.00   3.54250780   0.01598764
470.00   3.53945195   0.01619321
472.00   3.53638317   0.01640053
474.00   3.53330147   0.01660961
476.00   3.53020684   0.01682046
478.00   3.52709929   0.01703307
480.00   3.52397882   0.01724747
482.00   3.52084543   0.01746366
484.00   3.51769912   0.01768164
486.00   3.51453989   0.01790143
488.00   3.51136775   0.01812302
490.00   3.50818270   0.01834643
492.00   3.50498473   0.01857167
494.00   3.50177385   0.01879874
496.00   3.49855006   0.01902764
498.00   3.49531337   0.01925840
500.00   3.49206376   0.01949100
502.00   3.48880125   0.01972547
504.00   3.48552584   0.01996181
506.00   3.48223752   0.02020002
508.00   3.47893631   0.02044012
510.00   3.47562219   0.02068211
512.00   3.47229517   0.02092599
514.00   3.46895526   0.02117178
516.00   3.46560245   0.02141948
518.00   3.46223675   0.02166911
520.00   3.45885815   0.02192066
522.00   3.45546667   0.02217414
524.00   3.45206229   0.02242956
526.00   3.44864503   0.02268694
528.00   3.44521488   0.02294627
530.00   3.44177184   0.02320756
532.00   3.43831592   0.02347083
534.00   3.43484712   0.02373607
536.00   3.43136544   0.02400330
538.00   3.42787088   0.02427253
540.00   3.42436344   0.02454375
542.00   3.42084313   0.02481698
