wavelength(nm)         real         imag
100.00   3.67830348   0.00211851
102.00   3.66934779   0.00224817
104.00   3.66021483   0.00238302
106.00   3.65090460   0.00252315
108.00   3.64141711   0.00266867
110.00   3.63175236   0.00281968
112.00   3.62191035   0.00297629
114.00   3.61189109   0.00313858
116.00   3.60169458   0.00330667
118.00   3.59132083   0.00348066
120.00   3.58076984   0.00366064
122.00   3.57004162   0.00384672
124.00   3.55913617   0.00403901
126.00   3.54805349   0.00423759
128.00   3.53679360   0.00444258
130.00   3.52535649   0.00465408
132.00   3.51374217   0.00487218
134.00   3.50195065   0.00509699
136.00   3.48998193   0.00532861
138.00   3.47783601   0.00556714
140.00   3.46551291   0.00581269
142.00   3.45301262   0.00606535
144.00   3.44033516   0.00632522
146.00   3.42748052   0.00659241
148.00   3.41444872   0.00686703
150.00   3.40123976   0.00714916
152.00   3.38785364   0.00743892
154.00   3.37429038   0.00773639
156.00   3.36054997   0.00804170
158.00   3.34663242   0.00835493
160.00   3.33253774   0.00867619
162.00   3.31826594   0.00900557
164.00   3.30381702   0.00934319
166.00   3.28919099   0.00968915
168.00   3.27438785   0.01004353
170.00   3.25940761   0.01040645
172.00   3.24425028   0.01077801
174.00   3.22891586   0.01115830
176.00   3.21340437   0.01154744
178.00   3.19771580   0.01194551
180.00   3.18185016   0.01235263
182.00   3.16580747   0.01276889
184.00   3.14958772   0.01319440
186.00   3.13319094   0.01362925
188.00   3.11661711   0.01407356
190.00   3.09986625   0.01452741
192.00   3.08293837   0.01499091
194.00   3.06583347   0.01546416
196.00   3.04855157   0.01594727
198.00   3.03109267   0.01644033
200.00   3.01345677   0.01694345
202.00   2.99564389   0.01745673
204.00   2.97765403   0.01798026
206.00   2.95948720   0.01851415
208.00   2.94114341   0.01905851
210.00   2.92262267   0.01961343
212.00   2.90392498   0.02017901
214.00   2.88505035   0.02075536
216.00   2.86599880   0.02134257
218.00   2.84677033   0.02194075
220.00   2.82736494   0.02255000
222.00   2.80778265   0.02317042
224.00   2.78802346   0.02380212
226.00   2.76808739   0.02444518
228.00   2.74797444   0.02509972
230.00   2.72768462   0.02576584
232.00   2.70721795   0.02644363
234.00   2.68657442   0.02713320
236.00   2.66575405   0.02783464
238.00   2.64475684   0.02854807
240.00   2.62358281   0.02927358
242.00   2.60223197   0.03001127
244.00   2.58070433   0.03076124
246.00   2.55899988   0.03152360
248.00   2.53711865   0.03229845
250.00   2.51506065   0.03308588
252.00   2.49282588   0.03388600
254.00   2.47041435   0.03469891
256.00   2.44782607   0.03552471
258.00   2.42506106   0.03636350
260.00   2.40211932   0.03721538
262.00   2.37900086   0.03808046
264.00   2.35570569   0.03895883
266.00   2.33223383   0.03985060
268.00   2.30858528   0.04075586
270.00   2.28476005   0.04167473
272.00   2.26075816   0.04260729
274.00   2.23657961   0.04355365
276.00   2.21222441   0.04451391
278.00   2.18769259   0.04548817
280.00   2.16298413   0.04647654
282.00   2.13809907   0.04747911
284.00   2.11303740   0.04849598
286.00   2.08779915   0.04952726
288.00   2.06238431   0.05057305
290.00   2.03679290   0.05163344
292.00   2.01102494   0.05270854
294.00   1.98508043   0.05379845
296.00   1.95895938   0.05490328
298.00   1.93266181   0.05602311
300.00   1.90618773   0.05715806
302.00   1.87953715   0.05830822
304.00   1.85271008   0.05947369
306.00   1.82570653   0.06065457
308.00   1.79852652   0.06185098
310.00   1.77117005   0.06306300
312.00   1.74363714   0.06429073
314.00   1.71592780   0.06553429
316.00   1.68804205   0.06679376
318.00   1.65997989   0.06806925
320.00   1.63174133   0.06936086
322.00   1.60332640   0.07066870
324.00   1.57473510   0.07199285
326.00   1.54596744   0.07333343
328.00   1.51702344   0.07469053
330.00   1.48790311   0.07606426
332.00   1.45860646   0.07745471
334.00   1.42913350   0.07886198
336.00   1.39948426   0.08028618
338.00   1.36965873   0.08172741
340.00   1.33965694   0.08318576
342.00   1.30947890   0.08466135
344.00   1.27912461   0.08615426
346.00   1.24859410   0.08766460
348.00   1.21788738   0.08919247
350.00   1.18700445   0.09073797
352.00   1.15594534   0.09230120
354.00   1.12471006   0.09388226
356.00   1.09329862   0.09548126
358.00   1.06171103   0.09709829
360.00   1.02994732   0.09873345
362.00   0.99800748   0.10038684
364.00   0.96589154   0.10205857
366.00   0.93359951   0.10374873
368.00   0.90113141   0.10545743
370.00   0.86848724   0.10718476
372.00   0.83566703   0.10893083
374.00   0.80267078   0.11069574
376.00   0.76949852   0.11247958
378.00   0.73615025   0.11428246
380.00   0.70262599   0.11610448
382.00   0.66892576   0.11794573
384.00   0.63504956   0.11980633
386.00   0.60099743   0.12168636
388.00   0.56676936   0.12358593
390.00   0.53236537   0.12550514
392.00   0.49778549   0.12744409
394.00   0.46302972   0.12940288
396.00   0.42809808   0.13138161
398.00   0.39299059   0.13338038
400.00   0.35770725   0.13539929
402.00   0.32224810   0.13743844
404.00   0.28661313   0.13949793
406.00   0.25080237   0.14157786
408.00   0.21481583   0.14367834
410.00   0.17865353   0.14579945
412.00   0.14231549   0.14794131
414.00   0.10580171   0.15010401
416.00   0.06911222   0.15228765
418.00   0.03224704   0.15449234
420.00  -0.00479383   0.15671816
422.00  -0.04201037   0.15896523
424.00  -0.07940256   0.16123364
426.00  -0.11697038   0.16352350
428.00  -0.15471381   0.16583489
430.00  -0.19263285   0.16816793
432.00  -0.23072747   0.17052271
434.00  -0.26899766   0.17289933
436.00  -0.30744340   0.17529790
438.00  -0.34606467   0.17771850
440.00  -0.38486146   0.18016125
442.00  -0.42383375   0.18262625
444.00  -0.46298153   0.18511358
446.00  -0.50230477   0.18762335
448.00  -0.54180346   0.19015567
450.00  -0.58147758   0.19271063
452.00  -0.62132711   0.19528833
454.00  -0.66135204   0.19788887
456.00  -0.70155236   0.20051236
458.00  -0.74192803   0.20315888
460.00  -0.78247905   0.20582855
462.00  -0.82320540   0.20852145
464.00  -0.86410705   0.21123770
466.00  -0.90518400   0.21397738
468.00  -0.94643622   0.21674061
470.00  -0.98786370   0.21952747
472.00  -1.02946641   0.22233808
474.00  -1.07124434   0.22517252
476.00  -1.11319747   0.22803090
478.00  -1.15532579   0.23091332
480.00  -1.19762927   0.23381987
482.00  -1.24010790   0.23675067
484.00  -1.28276165   0.23970579
486.00  -1.32559052   0.24268536
488.00  -1.36859447   0.24568946
490.00  -1.41177350   0.24871820
492.00  -1.45512758   0.25177167
494.00  -1.49865669   0.25484997
496.00  -1.54236082   0.25795321
498.00  -1.58623994   0.26108148
500.00  -1.63029404   0.26423489
502.00  -1.67452310   0.26741353
504.00  -1.71892709   0.27061749
506.00  -1.76350601   0.27384689
508.00  -1.80825982   0.27710182
510.00  -1.85318852   0.28038238
512.00  -1.89829207   0.28368866
514.00  -1.94357047   0.28702078
516.00  -1.98902369   0.29037882
518.00  -2.03465171   0.29376289
520.00  -2.08045451   0.29717308
522.00  -2.12643207   0.30060950
524.00  -2.17258438   0.30407224
526.00  -2.21891141   0.30756141
528.00  -2.26541313   0.31107710
530.00  -2.31208954   0.31461941
532.00  -2.35894061   0.31818844
534.00  -2.40596633   0.32178429
536.00  -2.45316666   0.32540706
538.00  -2.50054159   0.32905685
540.00  -2.54809110   0.33273375
542.00  -2.59581517   0.33643787
544.00  -2.64371377   0.34016931
546.00  -2.69178689   0.34392816
548.00  -2.74003451   0.34771452
550.00  -2.78845661   0.35152850
552.00  -2.83705315   0.35537018
554.00  -2.88582413   0.35923968
556.00  -2.93476953   0.36313708
558.00  -2.98388931   0.36706249
560.00  -3.03318346   0.37101601
562.00  -3.08265196   0.37499774
564.00  -3.13229478   0.37900776
566.00  -3.18211191   0.38304619
568.00  -3.23210332   0.38711312
570.00  -3.28226899   0.39120866
572.00  -3.33260891   0.39533289
574.00  -3.38312304   0.39948592
576.00  -3.43381136   0.40366784
578.00  -3.48467386   0.40787876
580.00  -3.53571051   0.41211878
582.00  -3.58692129   0.41638798
584.00  -3.63830617   0.42068648
586.00  -3.68986514   0.42501437
588.00  -3.74159817   0.42937174
590.00  -3.79350525   0.43375870
592.00  -3.84558634   0.43817535
594.00  -3.89784142   0.44262178
596.00  -3.95027048   0.44709809
598.00  -4.00287348   0.45160438
600.00  -4.05565041   0.45614075
602.00  -4.10860125   0.46070730
604.00  -4.16172596   0.46530413
606.00  -4.21502454   0.46993132
608.00  -4.26849694   0.47458900
610.00  -4.32214316   0.47927724
612.00  -4.37596317   0.48399615
614.00  -4.42995694   0.48874583
616.00  -4.48412445   0.49352637
618.00  -4.53846568   0.49833788
620.00  -4.59298060   0.50318045
622.00  -4.64766920   0.50805418
624.00  -4.70253144   0.51295916
626.00  -4.75756730   0.51789551
628.00  -4.81277676   0.52286331
630.00  -4.86815980   0.52786266
632.00  -4.92371639   0.53289366
634.00  -4.97944650   0.53795641
636.00  -5.03535012   0.54305101
638.00  -5.09142721   0.54817755
640.00  -5.14767776   0.55333614
642.00  -5.20410174   0.55852686
644.00  -5.26069913   0.56374983
646.00  -5.31746989   0.56900513
648.00  -5.37441402   0.57429286
650.00  -5.43153147   0.57961313
652.00  -5.48882223   0.58496603
654.00  -5.54628627   0.59035165
656.00  -5.60392357   0.59577011
658.00  -5.66173410   0.60122148
660.00  -5.71971784   0.60670588
662.00  -5.77787476   0.61222339
664.00  -5.83620484   0.61777413
666.00  -5.89470805   0.62335817
668.00  -5.95338437   0.62897563
670.00  -6.01223376   0.63462660
672.00  -6.07125621   0.64031118
674.00  -6.13045169   0.64602946
676.00  -6.18982018   0.65178154
678.00  -6.24936164   0.65756752
680.00  -6.30907606   0.66338750
682.00  -6.36896340   0.66924158
684.00  -6.42902365   0.67512985
686.00  -6.48925677   0.68105240
688.00  -6.54966273   0.68700935
690.00  -6.61024152   0.69300078
692.00  -6.67099311   0.69902679
694.00  -6.73191747   0.70508748
696.00  -6.79301457   0.71118294
698.00  -6.85428439   0.71731328
700.00  -6.91572690   0.72347859
702.00  -6.97734207   0.72967897
704.00  -7.03912988   0.73591452
706.00  -7.10109030   0.74218533
708.00  -7.16322331   0.74849150
710.00  -7.22552887   0.75483312
712.00  -7.28800697   0.76121030
714.00  -7.35065756   0.76762313
716.00  -7.41348064   0.77407171
718.00  -7.47647616   0.78055613
720.00  -7.53964411   0.78707650
722.00  -7.60298444   0.79363290
724.00  -7.66649715   0.80022544
726.00  -7.73018220   0.80685422
728.00  -7.79403956   0.81351932
730.00  -7.85806920   0.82022085
732.00  -7.92227110   0.82695891
