wavelength(nm)         real         imag
200.00   3.88503598   0.00028599
201.00   3.88488602   0.00029030
202.00   3.88473531   0.00029465
203.00   3.88458386   0.00029905
204.00   3.88443166   0.00030349
205.00   3.88427871   0.00030797
206.00   3.88412502   0.00031250
207.00   3.88397058   0.00031707
208.00   3.88381539   0.00032169
209.00   3.88365946   0.00032635
210.00   3.88350278   0.00033106
211.00   3.88334535   0.00033581
212.00   3.88318718   0.00034060
213.00   3.88302826   0.00034544
214.00   3.88286860   0.00035033
215.00   3.88270818   0.00035526
216.00   3.88254702   0.00036024
217.00   3.88238512   0.00036527
218.00   3.88222246   0.00037034
219.00   3.88205907   0.00037546
220.00   3.88189492   0.00038062
221.00   3.88173003   0.00038584
222.00   3.88156439   0.00039110
223.00   3.88139800   0.00039640
224.00   3.88123087   0.00040176
225.00   3.88106299   0.00040716
226.00   3.88089437   0.00041261
227.00   3.88072500   0.00041811
228.00   3.88055488   0.00042366
229.00   3.88038402   0.00042926
230.00   3.88021241   0.00043490
231.00   3.88004005   0.00044060
232.00   3.87986695   0.00044634
233.00   3.87969310   0.00045214
234.00   3.87951851   0.00045798
235.00   3.87934317   0.00046388
236.00   3.87916708   0.00046982
237.00   3.87899024   0.00047582
238.00   3.87881266   0.00048186
239.00   3.87863434   0.00048796
240.00   3.87845527   0.00049411
241.00   3.87827545   0.00050031
242.00   3.87809488   0.00050656
243.00   3.87791357   0.00051287
244.00   3.87773152   0.00051922
245.00   3.87754872   0.00052563
246.00   3.87736517   0.00053209
247.00   3.87718087   0.00053860
248.00   3.87699583   0.00054517
249.00   3.87681005   0.00055179
250.00   3.87662351   0.00055846
251.00   3.87643624   0.00056518
252.00   3.87624821   0.00057196
253.00   3.87605944   0.00057880
254.00   3.87586993   0.00058569
255.00   3.87567966   0.00059263
256.00   3.87548866   0.00059962
257.00   3.87529690   0.00060668
258.00   3.87510440   0.00061378
259.00   3.87491116   0.00062094
260.00   3.87471717   0.00062816
261.00   3.87452243   0.00063543
262.00   3.87432695   0.00064276
263.00   3.87413072   0.00065015
264.00   3.87393375   0.00065759
265.00   3.87373603   0.00066509
266.00   3.87353757   0.00067264
267.00   3.87333836   0.00068025
268.00   3.87313840   0.00068792
269.00   3.87293770   0.00069565
270.00   3.87273625   0.00070343
271.00   3.87253406   0.00071127
272.00   3.87233112   0.00071917
273.00   3.87212744   0.00072713
274.00   3.87192301   0.00073514
275.00   3.87171784   0.00074322
276.00   3.87151192   0.00075135
277.00   3.87130526   0.00075955
278.00   3.87109785   0.00076780
279.00   3.87088969   0.00077611
280.00   3.87068079   0.00078448
281.00   3.87047114   0.00079291
282.00   3.87026075   0.00080140
283.00   3.87004962   0.00080995
284.00   3.86983774   0.00081857
285.00   3.86962511   0.00082724
286.00   3.86941174   0.00083597
287.00   3.86919762   0.00084477
288.00   3.86898276   0.00085363
289.00   3.86876715   0.00086254
290.00   3.86855080   0.00087152
291.00   3.86833370   0.00088057
292.00   3.86811586   0.00088967
293.00   3.86789727   0.00089884
294.00   3.86767794   0.00090807
295.00   3.86745786   0.00091736
296.00   3.86723704   0.00092672
297.00   3.86701548   0.00093614
298.00   3.86679316   0.00094562
299.00   3.86657011   0.00095516
300.00   3.86634631   0.00096477
301.00   3.86612176   0.00097445
302.00   3.86589647   0.00098419
303.00   3.86567043   0.00099399
304.00   3.86544365   0.00100386
305.00   3.86521613   0.00101379
306.00   3.86498786   0.00102379
307.00   3.86475884   0.00103386
308.00   3.86452909   0.00104399
309.00   3.86429858   0.00105418
310.00   3.86406733   0.00106444
311.00   3.86383534   0.00107477
312.00   3.86360260   0.00108517
313.00   3.86336912   0.00109563
314.00   3.86313490   0.00110616
315.00   3.86289993   0.00111675
316.00   3.86266421   0.00112742
317.00   3.86242775   0.00113815
318.00   3.86219055   0.00114895
319.00   3.86195260   0.00115981
320.00   3.86171391   0.00117075
321.00   3.86147447   0.00118175
322.00   3.86123429   0.00119282
323.00   3.86099336   0.00120396
324.00   3.86075169   0.00121517
325.00   3.86050928   0.00122645
326.00   3.86026612   0.00123780
327.00   3.86002222   0.00124922
328.00   3.85977758   0.00126071
329.00   3.85953219   0.00127227
330.00   3.85928605   0.00128389
331.00   3.85903917   0.00129559
332.00   3.85879155   0.00130736
333.00   3.85854319   0.00131920
334.00   3.85829408   0.00133112
335.00   3.85804422   0.00134310
336.00   3.85779362   0.00135516
337.00   3.85754228   0.00136728
338.00   3.85729020   0.00137948
339.00   3.85703737   0.00139175
340.00   3.85678379   0.00140410
341.00   3.85652948   0.00141651
342.00   3.85627442   0.00142900
343.00   3.85601861   0.00144157
344.00   3.85576206   0.00145420
345.00   3.85550477   0.00146691
346.00   3.85524674   0.00147970
347.00   3.85498796   0.00149255
348.00   3.85472844   0.00150549
349.00   3.85446817   0.00151849
350.00   3.85420716   0.00153157
351.00   3.85394541   0.00154473
352.00   3.85368291   0.00155796
353.00   3.85341967   0.00157126
354.00   3.85315569   0.00158465
355.00   3.85289096   0.00159810
356.00   3.85262550   0.00161163
357.00   3.85235928   0.00162524
358.00   3.85209233   0.00163893
359.00   3.85182463   0.00165269
360.00   3.85155618   0.00166653
361.00   3.85128700   0.00168044
362.00   3.85101707   0.00169444
363.00   3.85074640   0.00170851
364.00   3.85047498   0.00172265
365.00   3.85020282   0.00173688
366.00   3.84992992   0.00175118
367.00   3.84965628   0.00176556
368.00   3.84938189   0.00178002
369.00   3.84910676   0.00179456
370.00   3.84883089   0.00180918
371.00   3.84855427   0.00182388
372.00   3.84827691   0.00183865
373.00   3.84799881   0.00185351
374.00   3.84771997   0.00186844
375.00   3.84744038   0.00188346
376.00   3.84716005   0.00189855
377.00   3.84687898   0.00191373
378.00   3.84659716   0.00192898
379.00   3.84631461   0.00194432
380.00   3.84603131   0.00195974
381.00   3.84574726   0.00197523
382.00   3.84546248   0.00199081
383.00   3.84517695   0.00200648
384.00   3.84489068   0.00202222
385.00   3.84460367   0.00203804
386.00   3.84431591   0.00205395
387.00   3.84402741   0.00206994
388.00   3.84373817   0.00208602
389.00   3.84344819   0.00210217
390.00   3.84315746   0.00211841
391.00   3.84286600   0.00213473
392.00   3.84257379   0.00215114
393.00   3.84228084   0.00216763
394.00   3.84198714   0.00218420
395.00   3.84169271   0.00220086
396.00   3.84139753   0.00221760
397.00   3.84110161   0.00223443
398.00   3.84080495   0.00225134
399.00   3.84050754   0.00226833
400.00   3.84020940   0.00228541
401.00   3.83991051   0.00230258
402.00   3.83961088   0.00231983
403.00   3.83931051   0.00233717
404.00   3.83900940   0.00235460
405.00   3.83870754   0.00237211
406.00   3.83840494   0.00238970
407.00   3.83810160   0.00240739
408.00   3.83779752   0.00242516
409.00   3.83749270   0.00244301
410.00   3.83718714   0.00246096
411.00   3.83688083   0.00247899
412.00   3.83657379   0.00249711
413.00   3.83626600   0.00251532
414.00   3.83595747   0.00253362
415.00   3.83564820   0.00255200
416.00   3.83533818   0.00257047
417.00   3.83502743   0.00258904
418.00   3.83471593   0.00260769
419.00   3.83440370   0.00262643
420.00   3.83409072   0.00264526
421.00   3.83377700   0.00266418
422.00   3.83346254   0.00268319
423.00   3.83314734   0.00270228
424.00   3.83283139   0.00272147
425.00   3.83251471   0.00274075
426.00   3.83219728   0.00276012
427.00   3.83187912   0.00277959
428.00   3.83156021   0.00279914
429.00   3.83124056   0.00281878
430.00   3.83092017   0.00283852
431.00   3.83059904   0.00285835
432.00   3.83027717   0.00287826
433.00   3.82995456   0.00289828
434.00   3.82963120   0.00291838
435.00   3.82930711   0.00293858
436.00   3.82898228   0.00295887
437.00   3.82865670   0.00297925
438.00   3.82833038   0.00299972
439.00   3.82800333   0.00302029
440.00   3.82767553   0.00304095
441.00   3.82734699   0.00306171
442.00   3.82701771   0.00308256
443.00   3.82668770   0.00310351
444.00   3.82635694   0.00312454
445.00   3.82602544   0.00314568
446.00   3.82569320   0.00316691
447.00   3.82536022   0.00318823
448.00   3.82502650   0.00320965
449.00   3.82469203   0.00323117
450.00   3.82435683   0.00325278
451.00   3.82402089   0.00327448
452.00   3.82368421   0.00329629
453.00   3.82334679   0.00331818
454.00   3.82300863   0.00334018
455.00   3.82266972   0.00336227
456.00   3.82233008   0.00338446
457.00   3.82198970   0.00340675
458.00   3.82164858   0.00342913
459.00   3.82130672   0.00345161
460.00   3.82096412   0.00347419
461.00   3.82062077   0.00349687
462.00   3.82027669   0.00351965
463.00   3.81993187   0.00354252
464.00   3.81958631   0.00356550
465.00   3.81924001   0.00358857
466.00   3.81889297   0.00361174
467.00   3.81854519   0.00363501
468.00   3.81819667   0.00365838
469.00   3.81784741   0.00368185
470.00   3.81749741   0.00370542
471.00   3.81714668   0.00372909
472.00   3.81679520   0.00375286
473.00   3.81644298   0.00377673
474.00   3.81609003   0.00380070
475.00   3.81573633   0.00382478
476.00   3.81538190   0.00384895
477.00   3.81502672   0.00387322
478.00   3.81467081   0.00389760
479.00   3.81431416   0.00392208
480.00   3.81395677   0.00394666
481.00   3.81359864   0.00397134
482.00   3.81323977   0.00399613
483.00   3.81288016   0.00402102
484.00   3.81251981   0.00404601
485.00   3.81215873   0.00407110
486.00   3.81179690   0.00409630
487.00   3.81143434   0.00412160
488.00   3.81107103   0.00414701
489.00   3.81070699   0.00417252
490.00   3.81034221   0.00419813
491.00   3.80997669   0.00422385
492.00   3.80961044   0.00424967
493.00   3.80924344   0.00427560
494.00   3.80887570   0.00430163
495.00   3.80850723   0.00432777
496.00   3.80813802   0.00435401
497.00   3.80776807   0.00438036
498.00   3.80739738   0.00440681
499.00   3.80702595   0.00443337
500.00   3.80665379   0.00446004
501.00   3.80628088   0.00448681
502.00   3.80590724   0.00451369
503.00   3.80553286   0.00454068
504.00   3.80515775   0.00456777
505.00   3.80478189   0.00459497
506.00   3.80440529   0.00462228
507.00   3.80402796   0.00464970
508.00   3.80364989   0.00467722
509.00   3.80327108   0.00470485
510.00   3.80289154   0.00473259
511.00   3.80251125   0.00476044
512.00   3.80213023   0.00478840
513.00   3.80174847   0.00481647
514.00   3.80136597   0.00484464
515.00   3.80098274   0.00487293
516.00   3.80059877   0.00490132
517.00   3.80021406   0.00492983
518.00   3.79982861   0.00495844
519.00   3.79944242   0.00498717
520.00   3.79905550   0.00501600
521.00   3.79866784   0.00504495
522.00   3.79827944   0.00507401
523.00   3.79789031   0.00510318
524.00   3.79750043   0.00513246
525.00   3.79710982   0.00516185
526.00   3.79671848   0.00519135
527.00   3.79632639   0.00522096
528.00   3.79593357   0.00525069
529.00   3.79554001   0.00528053
530.00   3.79514572   0.00531048
531.00   3.79475068   0.00534055
532.00   3.79435491   0.00537072
533.00   3.79395841   0.00540102
534.00   3.79356116   0.00543142
535.00   3.79316318   0.00546194
536.00   3.79276447   0.00549257
537.00   3.79236501   0.00552331
538.00   3.79196482   0.00555417
539.00   3.79156389   0.00558515
540.00   3.79116223   0.00561624
541.00   3.79075983   0.00564744
542.00   3.79035669   0.00567876
543.00   3.78995282   0.00571019
544.00   3.78954821   0.00574174
545.00   3.78914286   0.00577341
546.00   3.78873678   0.00580519
547.00   3.78832996   0.00583708
548.00   3.78792240   0.00586910
549.00   3.78751411   0.00590123
550.00   3.78710508   0.00593347
551.00   3.78669532   0.00596584
552.00   3.78628482   0.00599832
553.00   3.78587358   0.00603092
554.00   3.78546161   0.00606363
555.00   3.78504890   0.00609646
556.00   3.78463546   0.00612942
557.00   3.78422128   0.00616249
558.00   3.78380636   0.00619567
559.00   3.78339071   0.00622898
560.00   3.78297432   0.00626240
561.00   3.78255720   0.00629595
562.00   3.78213934   0.00632961
563.00   3.78172075   0.00636340
564.00   3.78130142   0.00639730
565.00   3.78088135   0.00643132
566.00   3.78046055   0.00646546
567.00   3.78003901   0.00649973
568.00   3.77961674   0.00653411
569.00   3.77919373   0.00656861
570.00   3.77876999   0.00660324
571.00   3.77834551   0.00663798
572.00   3.77792030   0.00667285
573.00   3.77749435   0.00670784
574.00   3.77706767   0.00674295
575.00   3.77664025   0.00677818
576.00   3.77621210   0.00681354
577.00   3.77578321   0.00684901
578.00   3.77535358   0.00688461
579.00   3.77492323   0.00692034
580.00   3.77449213   0.00695618
581.00   3.77406031   0.00699215
582.00   3.77362774   0.00702824
583.00   3.77319445   0.00706446
584.00   3.77276041   0.00710080
585.00   3.77232565   0.00713726
586.00   3.77189015   0.00717385
587.00   3.77145391   0.00721056
588.00   3.77101694   0.00724739
589.00   3.77057924   0.00728436
590.00   3.77014080   0.00732144
591.00   3.76970163   0.00735865
592.00   3.76926172   0.00739599
593.00   3.76882108   0.00743345
594.00   3.76837970   0.00747104
595.00   3.76793759   0.00750876
596.00   3.76749475   0.00754660
597.00   3.76705117   0.00758457
598.00   3.76660686   0.00762266
599.00   3.76616181   0.00766088
600.00   3.76571603   0.00769923
601.00   3.76526952   0.00773771
602.00   3.76482227   0.00777631
603.00   3.76437429   0.00781504
604.00   3.76392558   0.00785390
605.00   3.76347613   0.00789289
606.00   3.76302595   0.00793200
607.00   3.76257503   0.00797125
608.00   3.76212338   0.00801062
609.00   3.76167100   0.00805012
610.00   3.76121788   0.00808975
