wavelength(nm)         real         imag
100.00   3.86240438   0.00035926
102.00   3.86088566   0.00038125
104.00   3.85933688   0.00040412
106.00   3.85775804   0.00042788
108.00   3.85614914   0.00045256
110.00   3.85451017   0.00047817
112.00   3.85284115   0.00050472
114.00   3.85114207   0.00053225
116.00   3.84941293   0.00056075
118.00   3.84765374   0.00059025
120.00   3.84586448   0.00062078
122.00   3.84404518   0.00065233
124.00   3.84219581   0.00068494
126.00   3.84031640   0.00071862
128.00   3.83840693   0.00075338
130.00   3.83646741   0.00078925
132.00   3.83449783   0.00082623
134.00   3.83249821   0.00086435
136.00   3.83046854   0.00090363
138.00   3.82840882   0.00094408
140.00   3.82631905   0.00098572
142.00   3.82419923   0.00102857
144.00   3.82204937   0.00107264
146.00   3.81986946   0.00111795
148.00   3.81765951   0.00116452
150.00   3.81541951   0.00121236
152.00   3.81314947   0.00126150
154.00   3.81084940   0.00131195
156.00   3.80851928   0.00136372
158.00   3.80615912   0.00141684
160.00   3.80376892   0.00147132
162.00   3.80134869   0.00152718
164.00   3.79889842   0.00158443
166.00   3.79641812   0.00164310
168.00   3.79390778   0.00170320
170.00   3.79136741   0.00176474
172.00   3.78879701   0.00182775
174.00   3.78619657   0.00189224
176.00   3.78356611   0.00195823
178.00   3.78090562   0.00202574
180.00   3.77821510   0.00209478
182.00   3.77549456   0.00216537
184.00   3.77274399   0.00223753
186.00   3.76996340   0.00231127
188.00   3.76715279   0.00238661
190.00   3.76431215   0.00246358
192.00   3.76144150   0.00254218
194.00   3.75854083   0.00262244
196.00   3.75561013   0.00270436
198.00   3.75264943   0.00278798
200.00   3.74965871   0.00287329
202.00   3.74663797   0.00296034
204.00   3.74358723   0.00304912
206.00   3.74050647   0.00313966
208.00   3.73739570   0.00323197
210.00   3.73425493   0.00332607
212.00   3.73108415   0.00342199
214.00   3.72788336   0.00351972
216.00   3.72465257   0.00361930
218.00   3.72139178   0.00372074
220.00   3.71810098   0.00382406
222.00   3.71478019   0.00392927
224.00   3.71142940   0.00403640
226.00   3.70804861   0.00414545
228.00   3.70463783   0.00425645
230.00   3.70119705   0.00436941
232.00   3.69772628   0.00448435
234.00   3.69422552   0.00460129
236.00   3.69069477   0.00472024
238.00   3.68713404   0.00484122
240.00   3.68354331   0.00496426
242.00   3.67992261   0.00508935
244.00   3.67627192   0.00521654
246.00   3.67259125   0.00534582
248.00   3.66888060   0.00547722
250.00   3.66513997   0.00561075
252.00   3.66136936   0.00574644
254.00   3.65756878   0.00588429
