wavelength(nm)         real         imag
100.00   3.83054076   0.00066375
102.00   3.82773488   0.00070437
104.00   3.82487345   0.00074662
106.00   3.82195648   0.00079052
108.00   3.81898398   0.00083612
110.00   3.81595594   0.00088343
112.00   3.81287236   0.00093249
114.00   3.80973325   0.00098334
116.00   3.80653860   0.00103601
118.00   3.80328843   0.00109052
120.00   3.79998272   0.00114691
122.00   3.79662148   0.00120521
124.00   3.79320472   0.00126545
126.00   3.78973243   0.00132767
128.00   3.78620462   0.00139190
130.00   3.78262129   0.00145816
132.00   3.77898243   0.00152649
134.00   3.77528806   0.00159693
136.00   3.77153816   0.00166949
138.00   3.76773275   0.00174423
140.00   3.76387183   0.00182116
142.00   3.75995539   0.00190032
144.00   3.75598345   0.00198174
146.00   3.75195599   0.00206545
148.00   3.74787302   0.00215149
150.00   3.74373455   0.00223989
152.00   3.73954058   0.00233067
154.00   3.73529110   0.00242387
156.00   3.73098613   0.00251953
158.00   3.72662565   0.00261766
160.00   3.72220968   0.00271832
162.00   3.71773821   0.00282152
164.00   3.71321126   0.00292729
166.00   3.70862881   0.00303568
168.00   3.70399087   0.00314672
170.00   3.69929744   0.00326042
172.00   3.69454853   0.00337683
174.00   3.68974414   0.00349598
176.00   3.68488427   0.00361790
178.00   3.67996892   0.00374262
180.00   3.67499810   0.00387018
182.00   3.66997180   0.00400059
184.00   3.66489002   0.00413391
186.00   3.65975278   0.00427015
188.00   3.65456007   0.00440935
190.00   3.64931190   0.00455155
192.00   3.64400826   0.00469677
194.00   3.63864917   0.00484504
196.00   3.63323461   0.00499640
198.00   3.62776460   0.00515088
200.00   3.62223914   0.00530851
202.00   3.61665823   0.00546933
204.00   3.61102187   0.00563335
206.00   3.60533006   0.00580063
208.00   3.59958281   0.00597118
210.00   3.59378011   0.00614504
212.00   3.58792198   0.00632224
214.00   3.58200842   0.00650281
216.00   3.57603942   0.00668679
218.00   3.57001499   0.00687421
220.00   3.56393513   0.00706509
222.00   3.55779985   0.00725947
224.00   3.55160914   0.00745739
226.00   3.54536301   0.00765886
228.00   3.53906147   0.00786394
230.00   3.53270451   0.00807264
232.00   3.52629215   0.00828499
234.00   3.51982437   0.00850104
236.00   3.51330119   0.00872081
238.00   3.50672260   0.00894433
240.00   3.50008861   0.00917164
242.00   3.49339923   0.00940276
244.00   3.48665445   0.00963774
246.00   3.47985428   0.00987659
248.00   3.47299872   0.01011935
250.00   3.46608778   0.01036606
252.00   3.45912145   0.01061675
254.00   3.45209975   0.01087144
256.00   3.44502266   0.01113017
258.00   3.43789021   0.01139297
260.00   3.43070238   0.01165987
262.00   3.42345919   0.01193090
264.00   3.41616063   0.01220610
266.00   3.40880672   0.01248550
268.00   3.40139744   0.01276913
270.00   3.39393282   0.01305701
272.00   3.38641284   0.01334919
274.00   3.37883751   0.01364569
276.00   3.37120684   0.01394655
278.00   3.36352083   0.01425180
280.00   3.35577948   0.01456146
282.00   3.34798280   0.01487557
284.00   3.34013078   0.01519417
286.00   3.33222344   0.01551727
288.00   3.32426077   0.01584493
290.00   3.31624279   0.01617716
292.00   3.30816949   0.01651399
294.00   3.30004087   0.01685547
296.00   3.29185694   0.01720162
298.00   3.28361771   0.01755247
300.00   3.27532318   0.01790806
302.00   3.26697334   0.01826842
304.00   3.25856821   0.01863357
306.00   3.25010779   0.01900355
308.00   3.24159208   0.01937839
310.00   3.23302109   0.01975812
312.00   3.22439482   0.02014278
314.00   3.21571327   0.02053240
316.00   3.20697645   0.02092700
318.00   3.19818435   0.02132662
320.00   3.18933700   0.02173130
322.00   3.18043438   0.02214105
324.00   3.17147650   0.02255592
326.00   3.16246337   0.02297593
328.00   3.15339499   0.02340112
330.00   3.14427137   0.02383152
332.00   3.13509250   0.02426716
334.00   3.12585839   0.02470807
336.00   3.11656905   0.02515428
338.00   3.10722449   0.02560583
340.00   3.09782469   0.02606274
342.00   3.08836968   0.02652506
344.00   3.07885945   0.02699280
346.00   3.06929400   0.02746600
348.00   3.05967335   0.02794469
350.00   3.04999749   0.02842891
352.00   3.04026643   0.02891868
354.00   3.03048017   0.02941404
356.00   3.02063872   0.02991502
358.00   3.01074209   0.03042165
360.00   3.00079027   0.03093395
362.00   2.99078327   0.03145197
364.00   2.98072110   0.03197574
366.00   2.97060376   0.03250528
368.00   2.96043125   0.03304063
370.00   2.95020358   0.03358182
372.00   2.93992075   0.03412887
374.00   2.92958277   0.03468183
376.00   2.91918964   0.03524072
378.00   2.90874137   0.03580558
380.00   2.89823796   0.03637643
382.00   2.88767942   0.03695331
