wavelength(nm)         real         imag
200.00   3.57356593   0.00623875
201.00   3.57029463   0.00633277
202.00   3.56700704   0.00642774
203.00   3.56370317   0.00652365
204.00   3.56038300   0.00662051
205.00   3.55704654   0.00671832
206.00   3.55369379   0.00681710
207.00   3.55032475   0.00691683
208.00   3.54693942   0.00701753
209.00   3.54353781   0.00711921
210.00   3.54011990   0.00722186
211.00   3.53668571   0.00732549
212.00   3.53323523   0.00743011
213.00   3.52976846   0.00753572
214.00   3.52628540   0.00764233
215.00   3.52278606   0.00774994
216.00   3.51927043   0.00785855
217.00   3.51573851   0.00796817
218.00   3.51219031   0.00807880
219.00   3.50862583   0.00819046
220.00   3.50504505   0.00830314
221.00   3.50144800   0.00841684
222.00   3.49783466   0.00853158
223.00   3.49420504   0.00864736
224.00   3.49055913   0.00876418
225.00   3.48689694   0.00888204
226.00   3.48321847   0.00900096
227.00   3.47952372   0.00912093
228.00   3.47581268   0.00924197
229.00   3.47208536   0.00936407
230.00   3.46834177   0.00948724
231.00   3.46458189   0.00961148
232.00   3.46080573   0.00973681
233.00   3.45701329   0.00986322
234.00   3.45320458   0.00999071
235.00   3.44937958   0.01011930
236.00   3.44553831   0.01024899
237.00   3.44168076   0.01037979
238.00   3.43780693   0.01051168
239.00   3.43391682   0.01064470
240.00   3.43001044   0.01077882
241.00   3.42608778   0.01091407
242.00   3.42214885   0.01105045
243.00   3.41819364   0.01118796
244.00   3.41422215   0.01132660
245.00   3.41023439   0.01146638
246.00   3.40623036   0.01160731
247.00   3.40221005   0.01174938
248.00   3.39817347   0.01189261
249.00   3.39412062   0.01203700
250.00   3.39005149   0.01218255
251.00   3.38596610   0.01232927
252.00   3.38186443   0.01247716
253.00   3.37774649   0.01262623
254.00   3.37361228   0.01277649
255.00   3.36946180   0.01292792
256.00   3.36529505   0.01308055
257.00   3.36111203   0.01323438
258.00   3.35691275   0.01338940
259.00   3.35269719   0.01354564
260.00   3.34846537   0.01370308
261.00   3.34421728   0.01386173
262.00   3.33995292   0.01402161
263.00   3.33567230   0.01418270
264.00   3.33137541   0.01434503
265.00   3.32706225   0.01450859
266.00   3.32273283   0.01467339
267.00   3.31838715   0.01483943
268.00   3.31402520   0.01500672
269.00   3.30964699   0.01517525
270.00   3.30525251   0.01534505
271.00   3.30084178   0.01551611
272.00   3.29641478   0.01568843
273.00   3.29197152   0.01586202
274.00   3.28751199   0.01603689
275.00   3.28303621   0.01621303
276.00   3.27854417   0.01639047
277.00   3.27403587   0.01656919
278.00   3.26951130   0.01674920
279.00   3.26497048   0.01693051
280.00   3.26041340   0.01711312
281.00   3.25584007   0.01729705
282.00   3.25125048   0.01748228
283.00   3.24664463   0.01766883
284.00   3.24202252   0.01785670
285.00   3.23738416   0.01804590
286.00   3.23272954   0.01823643
287.00   3.22805867   0.01842830
288.00   3.22337154   0.01862150
289.00   3.21866816   0.01881605
290.00   3.21394853   0.01901195
291.00   3.20921265   0.01920920
292.00   3.20446051   0.01940781
293.00   3.19969212   0.01960779
294.00   3.19490748   0.01980913
295.00   3.19010659   0.02001184
296.00   3.18528945   0.02021594
297.00   3.18045606   0.02042141
298.00   3.17560642   0.02062827
299.00   3.17074054   0.02083652
300.00   3.16585840   0.02104617
301.00   3.16096002   0.02125721
302.00   3.15604539   0.02146967
303.00   3.15111452   0.02168353
304.00   3.14616740   0.02189881
305.00   3.14120403   0.02211550
306.00   3.13622442   0.02233362
307.00   3.13122857   0.02255317
308.00   3.12621647   0.02277415
309.00   3.12118813   0.02299657
310.00   3.11614354   0.02322043
311.00   3.11108272   0.02344573
312.00   3.10600565   0.02367249
313.00   3.10091234   0.02390070
314.00   3.09580280   0.02413038
315.00   3.09067701   0.02436152
316.00   3.08553498   0.02459413
317.00   3.08037672   0.02482821
318.00   3.07520222   0.02506378
319.00   3.07001147   0.02530083
320.00   3.06480450   0.02553936
321.00   3.05958128   0.02577939
322.00   3.05434184   0.02602092
323.00   3.04908615   0.02626395
324.00   3.04381423   0.02650849
325.00   3.03852608   0.02675454
326.00   3.03322169   0.02700210
327.00   3.02790107   0.02725119
328.00   3.02256422   0.02750180
329.00   3.01721114   0.02775394
330.00   3.01184183   0.02800762
331.00   3.00645628   0.02826284
332.00   3.00105451   0.02851960
333.00   2.99563650   0.02877791
334.00   2.99020227   0.02903777
335.00   2.98475181   0.02929919
336.00   2.97928512   0.02956217
337.00   2.97380221   0.02982673
338.00   2.96830307   0.03009285
339.00   2.96278770   0.03036055
340.00   2.95725611   0.03062983
341.00   2.95170829   0.03090070
342.00   2.94614425   0.03117315
343.00   2.94056398   0.03144721
344.00   2.93496750   0.03172286
345.00   2.92935479   0.03200012
346.00   2.92372586   0.03227898
347.00   2.91808071   0.03255946
348.00   2.91241934   0.03284156
349.00   2.90674175   0.03312528
350.00   2.90104794   0.03341063
351.00   2.89533791   0.03369761
352.00   2.88961166   0.03398622
353.00   2.88386920   0.03427648
354.00   2.87811052   0.03456839
355.00   2.87233562   0.03486194
356.00   2.86654451   0.03515715
357.00   2.86073719   0.03545402
358.00   2.85491365   0.03575256
359.00   2.84907389   0.03605276
360.00   2.84321793   0.03635464
361.00   2.83734575   0.03665820
362.00   2.83145736   0.03696344
363.00   2.82555276   0.03727037
364.00   2.81963195   0.03757899
365.00   2.81369493   0.03788930
366.00   2.80774170   0.03820132
367.00   2.80177227   0.03851504
368.00   2.79578662   0.03883048
369.00   2.78978477   0.03914763
370.00   2.78376672   0.03946650
371.00   2.77773245   0.03978710
372.00   2.77168198   0.04010942
373.00   2.76561531   0.04043348
374.00   2.75953244   0.04075928
375.00   2.75343336   0.04108682
376.00   2.74731808   0.04141611
377.00   2.74118660   0.04174715
378.00   2.73503891   0.04207994
379.00   2.72887503   0.04241450
380.00   2.72269495   0.04275083
381.00   2.71649866   0.04308893
382.00   2.71028618   0.04342880
383.00   2.70405751   0.04377045
384.00   2.69781263   0.04411389
385.00   2.69155156   0.04445911
386.00   2.68527429   0.04480613
387.00   2.67898083   0.04515495
388.00   2.67267118   0.04550557
389.00   2.66634533   0.04585800
390.00   2.66000329   0.04621225
391.00   2.65364505   0.04656831
392.00   2.64727063   0.04692619
393.00   2.64088001   0.04728589
394.00   2.63447321   0.04764743
395.00   2.62805021   0.04801081
396.00   2.62161103   0.04837602
397.00   2.61515566   0.04874308
398.00   2.60868410   0.04911199
399.00   2.60219635   0.04948275
400.00   2.59569242   0.04985537
401.00   2.58917231   0.05022985
402.00   2.58263601   0.05060621
403.00   2.57608352   0.05098443
404.00   2.56951485   0.05136453
405.00   2.56293001   0.05174651
406.00   2.55632898   0.05213038
407.00   2.54971176   0.05251614
408.00   2.54307837   0.05290380
409.00   2.53642880   0.05329335
410.00   2.52976305   0.05368482
411.00   2.52308113   0.05407819
412.00   2.51638302   0.05447347
413.00   2.50966874   0.05487067
414.00   2.50293828   0.05526980
415.00   2.49619165   0.05567085
416.00   2.48942885   0.05607384
417.00   2.48264987   0.05647876
418.00   2.47585472   0.05688562
419.00   2.46904339   0.05729443
420.00   2.46221590   0.05770519
421.00   2.45537223   0.05811791
422.00   2.44851240   0.05853259
423.00   2.44163640   0.05894923
424.00   2.43474422   0.05936784
425.00   2.42783588   0.05978842
426.00   2.42091138   0.06021098
427.00   2.41397070   0.06063553
428.00   2.40701387   0.06106206
429.00   2.40004086   0.06149059
430.00   2.39305170   0.06192111
431.00   2.38604637   0.06235364
432.00   2.37902488   0.06278817
433.00   2.37198723   0.06322471
434.00   2.36493341   0.06366326
435.00   2.35786344   0.06410384
436.00   2.35077731   0.06454644
437.00   2.34367502   0.06499107
438.00   2.33655657   0.06543773
439.00   2.32942196   0.06588643
440.00   2.32227120   0.06633717
441.00   2.31510429   0.06678996
442.00   2.30792122   0.06724481
443.00   2.30072199   0.06770171
444.00   2.29350661   0.06816067
445.00   2.28627508   0.06862170
446.00   2.27902740   0.06908479
447.00   2.27176357   0.06954997
448.00   2.26448359   0.07001722
449.00   2.25718746   0.07048655
450.00   2.24987518   0.07095798
451.00   2.24254676   0.07143150
452.00   2.23520219   0.07190712
453.00   2.22784147   0.07238483
454.00   2.22046461   0.07286466
455.00   2.21307160   0.07334660
456.00   2.20566245   0.07383065
457.00   2.19823716   0.07431683
458.00   2.19079572   0.07480513
459.00   2.18333815   0.07529556
460.00   2.17586443   0.07578813
461.00   2.16837458   0.07628283
462.00   2.16086859   0.07677968
463.00   2.15334646   0.07727868
464.00   2.14580819   0.07777983
465.00   2.13825378   0.07828314
466.00   2.13068325   0.07878861
467.00   2.12309657   0.07929625
468.00   2.11549377   0.07980606
469.00   2.10787483   0.08031804
470.00   2.10023976   0.08083221
471.00   2.09258855   0.08134856
472.00   2.08492122   0.08186710
473.00   2.07723776   0.08238784
474.00   2.06953817   0.08291077
475.00   2.06182245   0.08343591
476.00   2.05409061   0.08396326
477.00   2.04634263   0.08449281
478.00   2.03857854   0.08502459
479.00   2.03079832   0.08555859
480.00   2.02300197   0.08609481
481.00   2.01518951   0.08663327
482.00   2.00736092   0.08717396
483.00   1.99951621   0.08771689
484.00   1.99165538   0.08826207
485.00   1.98377843   0.08880949
486.00   1.97588537   0.08935917
487.00   1.96797618   0.08991111
488.00   1.96005088   0.09046531
489.00   1.95210946   0.09102178
490.00   1.94415193   0.09158053
491.00   1.93617829   0.09214154
492.00   1.92818853   0.09270484
493.00   1.92018266   0.09327043
494.00   1.91216067   0.09383831
495.00   1.90412258   0.09440848
496.00   1.89606838   0.09498095
497.00   1.88799806   0.09555573
498.00   1.87991164   0.09613281
499.00   1.87180912   0.09671221
500.00   1.86369048   0.09729393
501.00   1.85555575   0.09787797
502.00   1.84740490   0.09846433
503.00   1.83923796   0.09905303
504.00   1.83105491   0.09964406
505.00   1.82285576   0.10023744
506.00   1.81464051   0.10083316
507.00   1.80640916   0.10143123
508.00   1.79816170   0.10203166
509.00   1.78989816   0.10263444
510.00   1.78161851   0.10323959
511.00   1.77332277   0.10384711
512.00   1.76501093   0.10445700
513.00   1.75668300   0.10506927
514.00   1.74833897   0.10568392
515.00   1.73997885   0.10630095
516.00   1.73160264   0.10692038
517.00   1.72321034   0.10754221
518.00   1.71480195   0.10816643
519.00   1.70637747   0.10879306
520.00   1.69793690   0.10942210
521.00   1.68948025   0.11005355
522.00   1.68100750   0.11068742
523.00   1.67251868   0.11132372
524.00   1.66401376   0.11196244
525.00   1.65549277   0.11260359
526.00   1.64695569   0.11324718
527.00   1.63840253   0.11389322
528.00   1.62983329   0.11454170
529.00   1.62124797   0.11519262
530.00   1.61264657   0.11584601
531.00   1.60402909   0.11650185
532.00   1.59539554   0.11716016
533.00   1.58674591   0.11782094
534.00   1.57808020   0.11848419
535.00   1.56939842   0.11914992
536.00   1.56070057   0.11981813
537.00   1.55198664   0.12048883
538.00   1.54325664   0.12116202
539.00   1.53451058   0.12183770
540.00   1.52574844   0.12251589
541.00   1.51697023   0.12319658
