wavelength(nm)         real         imag
100.00   3.85886398   0.00039309
102.00   3.85720224   0.00041715
104.00   3.85550761   0.00044217
106.00   3.85378009   0.00046817
108.00   3.85201967   0.00049518
110.00   3.85022637   0.00052320
112.00   3.84840017   0.00055225
114.00   3.84654109   0.00058237
116.00   3.84464912   0.00061356
118.00   3.84272426   0.00064584
120.00   3.84076651   0.00067924
122.00   3.83877588   0.00071376
124.00   3.83675236   0.00074944
126.00   3.83469596   0.00078629
128.00   3.83260667   0.00082433
130.00   3.83048450   0.00086357
132.00   3.82832946   0.00090404
134.00   3.82614153   0.00094575
136.00   3.82392072   0.00098873
138.00   3.82166703   0.00103299
140.00   3.81938047   0.00107855
142.00   3.81706103   0.00112543
144.00   3.81470871   0.00117365
146.00   3.81232352   0.00122323
148.00   3.80990545   0.00127418
150.00   3.80745452   0.00132653
152.00   3.80497071   0.00138030
154.00   3.80245403   0.00143550
156.00   3.79990448   0.00149215
158.00   3.79732207   0.00155027
160.00   3.79470679   0.00160988
162.00   3.79205864   0.00167099
164.00   3.78937763   0.00173364
166.00   3.78666375   0.00179783
168.00   3.78391701   0.00186359
170.00   3.78113741   0.00193093
172.00   3.77832495   0.00199987
174.00   3.77547964   0.00207043
176.00   3.77260146   0.00214264
178.00   3.76969043   0.00221650
180.00   3.76674655   0.00229204
182.00   3.76376981   0.00236928
184.00   3.76076022   0.00244823
186.00   3.75771778   0.00252892
188.00   3.75464249   0.00261136
190.00   3.75153435   0.00269558
192.00   3.74839336   0.00278158
194.00   3.74521953   0.00286939
196.00   3.74201285   0.00295903
198.00   3.73877334   0.00305052
200.00   3.73550098   0.00314387
202.00   3.73219578   0.00323911
204.00   3.72885774   0.00333626
206.00   3.72548687   0.00343532
208.00   3.72208316   0.00353633
210.00   3.71864662   0.00363929
212.00   3.71517724   0.00374424
214.00   3.71167503   0.00385118
216.00   3.70814000   0.00396014
218.00   3.70457213   0.00407113
220.00   3.70097144   0.00418418
222.00   3.69733793   0.00429930
224.00   3.69367159   0.00441651
226.00   3.68997243   0.00453583
228.00   3.68624045   0.00465728
230.00   3.68247566   0.00478088
232.00   3.67867804   0.00490664
234.00   3.67484762   0.00503459
236.00   3.67098437   0.00516475
238.00   3.66708832   0.00529712
240.00   3.66315946   0.00543174
242.00   3.65919779   0.00556862
244.00   3.65520331   0.00570778
246.00   3.65117603   0.00584924
248.00   3.64711594   0.00599301
250.00   3.64302306   0.00613912
252.00   3.63889737   0.00628758
254.00   3.63473889   0.00643842
256.00   3.63054761   0.00659165
258.00   3.62632354   0.00674729
260.00   3.62206667   0.00690535
262.00   3.61777702   0.00706587
264.00   3.61345458   0.00722885
266.00   3.60909935   0.00739432
268.00   3.60471134   0.00756229
270.00   3.60029054   0.00773279
272.00   3.59583696   0.00790583
274.00   3.59135061   0.00808142
276.00   3.58683148   0.00825960
278.00   3.58227957   0.00844038
280.00   3.57769489   0.00862377
282.00   3.57307744   0.00880980
284.00   3.56842722   0.00899848
286.00   3.56374424   0.00918983
288.00   3.55902849   0.00938388
290.00   3.55427998   0.00958064
292.00   3.54949870   0.00978013
294.00   3.54468467   0.00998236
296.00   3.53983789   0.01018736
298.00   3.53495834   0.01039515
300.00   3.53004605   0.01060574
302.00   3.52510101   0.01081915
304.00   3.52012322   0.01103540
306.00   3.51511268   0.01125452
308.00   3.51006940   0.01147651
310.00   3.50499338   0.01170140
312.00   3.49988462   0.01192921
314.00   3.49474312   0.01215996
316.00   3.48956889   0.01239365
318.00   3.48436193   0.01263032
320.00   3.47912224   0.01286998
322.00   3.47384981   0.01311265
324.00   3.46854467   0.01335835
326.00   3.46320680   0.01360709
328.00   3.45783621   0.01385891
330.00   3.45243290   0.01411380
332.00   3.44699688   0.01437180
334.00   3.44152814   0.01463292
336.00   3.43602669   0.01489718
338.00   3.43049253   0.01516461
340.00   3.42492567   0.01543521
342.00   3.41932610   0.01570900
344.00   3.41369383   0.01598601
346.00   3.40802887   0.01626626
348.00   3.40233120   0.01654976
350.00   3.39660084   0.01683653
352.00   3.39083779   0.01712658
354.00   3.38504205   0.01741995
356.00   3.37921363   0.01771665
358.00   3.37335252   0.01801669
360.00   3.36745873   0.01832009
362.00   3.36153226   0.01862688
364.00   3.35557311   0.01893707
366.00   3.34958129   0.01925069
368.00   3.34355680   0.01956774
370.00   3.33749964   0.01988825
372.00   3.33140982   0.02021223
374.00   3.32528733   0.02053971
376.00   3.31913218   0.02087070
378.00   3.31294437   0.02120523
380.00   3.30672391   0.02154331
382.00   3.30047080   0.02188495
384.00   3.29418504   0.02223019
386.00   3.28786663   0.02257903
388.00   3.28151557   0.02293150
390.00   3.27513188   0.02328761
392.00   3.26871554   0.02364738
394.00   3.26226658   0.02401084
396.00   3.25578497   0.02437799
398.00   3.24927074   0.02474887
400.00   3.24272388   0.02512348
402.00   3.23614440   0.02550185
404.00   3.22953229   0.02588399
406.00   3.22288757   0.02626992
408.00   3.21621023   0.02665967
410.00   3.20950028   0.02705324
412.00   3.20275771   0.02745066
414.00   3.19598254   0.02785196
416.00   3.18917477   0.02825713
418.00   3.18233440   0.02866621
420.00   3.17546143   0.02907922
422.00   3.16855586   0.02949616
424.00   3.16161770   0.02991707
426.00   3.15464695   0.03034196
428.00   3.14764362   0.03077084
430.00   3.14060770   0.03120373
432.00   3.13353920   0.03164067
434.00   3.12643813   0.03208165
436.00   3.11930448   0.03252671
438.00   3.11213827   0.03297585
440.00   3.10493948   0.03342911
442.00   3.09770813   0.03388649
444.00   3.09044422   0.03434802
446.00   3.08314775   0.03481371
448.00   3.07581873   0.03528358
450.00   3.06845716   0.03575766
452.00   3.06106303   0.03623595
454.00   3.05363636   0.03671849
456.00   3.04617715   0.03720528
458.00   3.03868541   0.03769634
460.00   3.03116112   0.03819170
462.00   3.02360431   0.03869137
464.00   3.01601496   0.03919538
466.00   3.00839309   0.03970373
468.00   3.00073870   0.04021645
470.00   2.99305179   0.04073355
472.00   2.98533236   0.04125506
474.00   2.97758042   0.04178100
476.00   2.96979597   0.04231137
478.00   2.96197902   0.04284621
480.00   2.95412956   0.04338552
482.00   2.94624761   0.04392933
484.00   2.93833316   0.04447766
486.00   2.93038622   0.04503052
488.00   2.92240679   0.04558794
490.00   2.91439488   0.04614992
492.00   2.90635049   0.04671650
494.00   2.89827361   0.04728768
496.00   2.89016427   0.04786349
498.00   2.88202245   0.04844394
500.00   2.87384816   0.04902906
502.00   2.86564142   0.04961886
504.00   2.85740221   0.05021336
506.00   2.84913054   0.05081258
508.00   2.84082643   0.05141653
510.00   2.83248986   0.05202524
512.00   2.82412085   0.05263873
514.00   2.81571940   0.05325701
516.00   2.80728550   0.05388009
518.00   2.79881918   0.05450801
520.00   2.79032042   0.05514078
522.00   2.78178923   0.05577841
524.00   2.77322563   0.05642092
526.00   2.76462960   0.05706834
528.00   2.75600115   0.05772068
530.00   2.74734030   0.05837796
532.00   2.73864703   0.05904020
534.00   2.72992136   0.05970741
536.00   2.72116329   0.06037962
538.00   2.71237282   0.06105684
540.00   2.70354996   0.06173910
542.00   2.69469471   0.06242640
544.00   2.68580708   0.06311877
546.00   2.67688706   0.06381623
548.00   2.66793466   0.06451879
550.00   2.65894989   0.06522648
552.00   2.64993275   0.06593931
554.00   2.64088324   0.06665730
556.00   2.63180138   0.06738046
558.00   2.62268715   0.06810883
560.00   2.61354057   0.06884241
562.00   2.60436164   0.06958122
564.00   2.59515036   0.07032529
566.00   2.58590674   0.07107462
568.00   2.57663078   0.07182924
570.00   2.56732249   0.07258917
572.00   2.55798186   0.07335443
574.00   2.54860891   0.07412503
576.00   2.53920364   0.07490099
578.00   2.52976605   0.07568233
580.00   2.52029615   0.07646907
582.00   2.51079394   0.07726122
584.00   2.50125942   0.07805882
586.00   2.49169260   0.07886186
588.00   2.48209348   0.07967037
590.00   2.47246207   0.08048438
592.00   2.46279837   0.08130389
594.00   2.45310238   0.08212893
596.00   2.44337411   0.08295952
598.00   2.43361357   0.08379566
600.00   2.42382076   0.08463739
602.00   2.41399567   0.08548472
604.00   2.40413833   0.08633767
606.00   2.39424872   0.08719625
608.00   2.38432686   0.08806048
610.00   2.37437275   0.08893039
612.00   2.36438639   0.08980599
614.00   2.35436779   0.09068730
616.00   2.34431695   0.09157433
618.00   2.33423388   0.09246711
620.00   2.32411858   0.09336566
622.00   2.31397105   0.09426998
624.00   2.30379131   0.09518011
626.00   2.29357935   0.09609605
628.00   2.28333517   0.09701783
630.00   2.27305879   0.09794547
632.00   2.26275021   0.09887898
634.00   2.25240943   0.09981837
636.00   2.24203645   0.10076368
638.00   2.23163129   0.10171492
640.00   2.22119394   0.10267210
642.00   2.21072441   0.10363524
644.00   2.20022271   0.10460437
646.00   2.18968883   0.10557950
648.00   2.17912279   0.10656064
650.00   2.16852459   0.10754782
652.00   2.15789423   0.10854106
654.00   2.14723172   0.10954037
656.00   2.13653705   0.11054577
658.00   2.12581025   0.11155727
660.00   2.11505131   0.11257491
662.00   2.10426023   0.11359869
664.00   2.09343702   0.11462863
666.00   2.08258169   0.11566476
668.00   2.07169424   0.11670709
670.00   2.06077467   0.11775563
672.00   2.04982300   0.11881041
674.00   2.03883921   0.11987144
676.00   2.02782333   0.12093875
678.00   2.01677535   0.12201234
680.00   2.00569527   0.12309224
682.00   1.99458312   0.12417847
684.00   1.98343887   0.12527105
686.00   1.97226256   0.12636998
688.00   1.96105417   0.12747530
690.00   1.94981371   0.12858702
692.00   1.93854119   0.12970515
694.00   1.92723661   0.13082972
696.00   1.91589998   0.13196074
698.00   1.90453130   0.13309823
700.00   1.89313058   0.13424221
702.00   1.88169782   0.13539270
704.00   1.87023303   0.13654971
706.00   1.85873620   0.13771326
708.00   1.84720736   0.13888338
710.00   1.83564650   0.14006007
712.00   1.82405362   0.14124337
714.00   1.81242874   0.14243327
716.00   1.80077185   0.14362981
718.00   1.78908297   0.14483301
720.00   1.77736209   0.14604287
722.00   1.76560922   0.14725941
724.00   1.75382437   0.14848267
726.00   1.74200755   0.14971264
728.00   1.73015875   0.15094936
730.00   1.71827798   0.15219284
732.00   1.70636525   0.15344309
734.00   1.69442056   0.15470014
736.00   1.68244392   0.15596400
738.00   1.67043534   0.15723469
740.00   1.65839481   0.15851223
742.00   1.64632234   0.15979664
744.00   1.63421795   0.16108793
746.00   1.62208163   0.16238613
748.00   1.60991338   0.16369124
750.00   1.59771322   0.16500329
752.00   1.58548116   0.16632231
754.00   1.57321718   0.16764829
756.00   1.56092131   0.16898127
758.00   1.54859354   0.17032125
760.00   1.53623388   0.17166827
762.00   1.52384234   0.17302233
764.00   1.51141892   0.17438346
766.00   1.49896362   0.17575166
768.00   1.48647646   0.17712697
770.00   1.47395744   0.17850939
772.00   1.46140656   0.17989895
774.00   1.44882383   0.18129567
776.00   1.43620925   0.18269955
778.00   1.42356283   0.18411062
780.00   1.41088457   0.18552890
782.00   1.39817449   0.18695441
784.00   1.38543258   0.18838715
786.00   1.37265885   0.18982716
788.00   1.35985331   0.19127444
790.00   1.34701596   0.19272902
792.00   1.33414681   0.19419092
794.00   1.32124586   0.19566015
796.00   1.30831313   0.19713672
798.00   1.29534860   0.19862067
800.00   1.28235230   0.20011199
802.00   1.26932422   0.20161072
804.00   1.25626437   0.20311688
806.00   1.24317276   0.20463047
808.00   1.23004939   0.20615151
810.00   1.21689427   0.20768003
812.00   1.20370740   0.20921604
814.00   1.19048879   0.21075956
816.00   1.17723845   0.21231061
818.00   1.16395638   0.21386920
820.00   1.15064258   0.21543536
822.00   1.13729707   0.21700910
824.00   1.12391985   0.21859043
826.00   1.11051092   0.22017938
828.00   1.09707028   0.22177597
830.00   1.08359796   0.22338020
832.00   1.07009394   0.22499210
834.00   1.05655825   0.22661170
836.00   1.04299087   0.22823899
838.00   1.02939182   0.22987401
840.00   1.01576111   0.23151677
842.00   1.00209874   0.23316728
844.00   0.98840471   0.23482557
846.00   0.97467904   0.23649165
848.00   0.96092172   0.23816555
850.00   0.94713277   0.23984727
852.00   0.93331219   0.24153684
854.00   0.91945998   0.24323427
856.00   0.90557616   0.24493958
858.00   0.89166072   0.24665279
860.00   0.87771367   0.24837392
862.00   0.86373503   0.25010298
864.00   0.84972479   0.25183999
866.00   0.83568296   0.25358498
868.00   0.82160955   0.25533795
870.00   0.80750457   0.25709892
872.00   0.79336801   0.25886792
874.00   0.77919989   0.26064495
876.00   0.76500021   0.26243005
878.00   0.75076898   0.26422321
880.00   0.73650621   0.26602447
882.00   0.72221189   0.26783384
884.00   0.70788604   0.26965134
886.00   0.69352867   0.27147699
888.00   0.67913977   0.27331079
890.00   0.66471935   0.27515278
892.00   0.65026743   0.27700296
894.00   0.63578401   0.27886136
896.00   0.62126908   0.28072799
898.00   0.60672267   0.28260287
900.00   0.59214478   0.28448602
902.00   0.57753540   0.28637746
904.00   0.56289456   0.28827720
906.00   0.54822224   0.29018526
908.00   0.53351847   0.29210166
910.00   0.51878325   0.29402641
912.00   0.50401658   0.29595953
914.00   0.48921847   0.29790105
916.00   0.47438893   0.29985097
918.00   0.45952796   0.30180932
920.00   0.44463557   0.30377611
922.00   0.42971176   0.30575136
924.00   0.41475655   0.30773509
926.00   0.39976993   0.30972732
928.00   0.38475192   0.31172806
930.00   0.36970252   0.31373732
932.00   0.35462174   0.31575514
934.00   0.33950958   0.31778152
936.00   0.32436605   0.31981648
938.00   0.30919115   0.32186004
940.00   0.29398491   0.32391222
942.00   0.27874731   0.32597303
944.00   0.26347836   0.32804249
946.00   0.24817808   0.33012063
948.00   0.23284647   0.33220745
950.00   0.21748354   0.33430297
952.00   0.20208929   0.33640722
954.00   0.18666372   0.33852020
956.00   0.17120686   0.34064194
958.00   0.15571869   0.34277245
960.00   0.14019924   0.34491176
962.00   0.12464850   0.34705987
964.00   0.10906648   0.34921681
966.00   0.09345319   0.35138259
968.00   0.07780864   0.35355723
970.00   0.06213283   0.35574074
972.00   0.04642576   0.35793315
974.00   0.03068746   0.36013448
976.00   0.01491791   0.36234473
978.00  -0.00088286   0.36456393
980.00  -0.01671486   0.36679209
982.00  -0.03257808   0.36902924
984.00  -0.04847250   0.37127538
986.00  -0.06439813   0.37353054
988.00  -0.08035496   0.37579473
990.00  -0.09634298   0.37806797
992.00  -0.11236218   0.38035027
994.00  -0.12841256   0.38264167
996.00  -0.14449411   0.38494216
998.00  -0.16060682   0.38725177
1000.00  -0.17675068   0.38957052
1002.00  -0.19292570   0.39189842
1004.00  -0.20913186   0.39423550
1006.00  -0.22536915   0.39658176
1008.00  -0.24163757   0.39893722
1010.00  -0.25793712   0.40130191
1012.00  -0.27426777   0.40367583
1014.00  -0.29062954   0.40605902
1016.00  -0.30702240   0.40845147
1018.00  -0.32344636   0.41085322
1020.00  -0.33990141   0.41326427
1022.00  -0.35638753   0.41568465
1024.00  -0.37290473   0.41811438
1026.00  -0.38945299   0.42055346
1028.00  -0.40603231   0.42300191
1030.00  -0.42264269   0.42545977
1032.00  -0.43928410   0.42792703
1034.00  -0.45595656   0.43040372
1036.00  -0.47266004   0.43288985
1038.00  -0.48939455   0.43538545
1040.00  -0.50616007   0.43789052
1042.00  -0.52295660   0.44040509
1044.00  -0.53978414   0.44292918
1046.00  -0.55664267   0.44546279
1048.00  -0.57353218   0.44800595
1050.00  -0.59045268   0.45055868
1052.00  -0.60740415   0.45312098
1054.00  -0.62438658   0.45569289
1056.00  -0.64139997   0.45827441
1058.00  -0.65844432   0.46086556
1060.00  -0.67551960   0.46346636
1062.00  -0.69262583   0.46607683
1064.00  -0.70976298   0.46869698
1066.00  -0.72693106   0.47132683
1068.00  -0.74413005   0.47396640
1070.00  -0.76135995   0.47661571
1072.00  -0.77862075   0.47927476
1074.00  -0.79591244   0.48194359
1076.00  -0.81323501   0.48462220
1078.00  -0.83058847   0.48731061
1080.00  -0.84797280   0.49000884
1082.00  -0.86538799   0.49271690
1084.00  -0.88283403   0.49543482
1086.00  -0.90031093   0.49816261
1088.00  -0.91781866   0.50090028
1090.00  -0.93535723   0.50364786
1092.00  -0.95292663   0.50640536
1094.00  -0.97052684   0.50917280
1096.00  -0.98815787   0.51195019
1098.00  -1.00581970   0.51473756
1100.00  -1.02351232   0.51753491
1102.00  -1.04123574   0.52034226
1104.00  -1.05898994   0.52315964
1106.00  -1.07677491   0.52598706
1108.00  -1.09459065   0.52882453
1110.00  -1.11243714   0.53167208
1112.00  -1.13031439   0.53452971
1114.00  -1.14822238   0.53739745
1116.00  -1.16616111   0.54027531
1118.00  -1.18413056   0.54316332
1120.00  -1.20213074   0.54606148
1122.00  -1.22016163   0.54896981
1124.00  -1.23822323   0.55188833
1126.00  -1.25631552   0.55481706
1128.00  -1.27443850   0.55775602
1130.00  -1.29259217   0.56070521
1132.00  -1.31077651   0.56366466
1134.00  -1.32899152   0.56663439
1136.00  -1.34723719   0.56961440
1138.00  -1.36551351   0.57260473
1140.00  -1.38382048   0.57560537
1142.00  -1.40215808   0.57861636
1144.00  -1.42052631   0.58163771
