wavelength(nm)         real         imag
100.00   3.77389433   0.00120505
102.00   3.76880015   0.00127881
104.00   3.76360513   0.00135551
106.00   3.75830927   0.00143522
108.00   3.75291259   0.00151800
110.00   3.74741507   0.00160390
112.00   3.74181673   0.00169297
114.00   3.73611756   0.00178529
116.00   3.73031757   0.00188090
118.00   3.72441676   0.00197987
120.00   3.71841514   0.00208225
122.00   3.71231270   0.00218810
124.00   3.70610944   0.00229747
126.00   3.69980538   0.00241043
128.00   3.69340052   0.00252703
130.00   3.68689485   0.00264734
132.00   3.68028838   0.00277140
134.00   3.67358111   0.00289927
136.00   3.66677305   0.00303103
138.00   3.65986420   0.00316671
140.00   3.65285456   0.00330638
142.00   3.64574413   0.00345010
144.00   3.63853292   0.00359792
146.00   3.63122093   0.00374990
148.00   3.62380817   0.00390611
150.00   3.61629463   0.00406659
152.00   3.60868032   0.00423141
154.00   3.60096525   0.00440062
156.00   3.59314942   0.00457429
158.00   3.58523282   0.00475246
160.00   3.57721547   0.00493520
162.00   3.56909737   0.00512256
164.00   3.56087852   0.00531461
166.00   3.55255892   0.00551139
168.00   3.54413858   0.00571297
170.00   3.53561751   0.00591941
172.00   3.52699570   0.00613076
174.00   3.51827316   0.00634708
176.00   3.50944989   0.00656843
178.00   3.50052590   0.00679486
180.00   3.49150119   0.00702644
182.00   3.48237577   0.00726322
184.00   3.47314963   0.00750525
186.00   3.46382279   0.00775261
188.00   3.45439525   0.00800534
190.00   3.44486701   0.00826350
192.00   3.43523807   0.00852715
194.00   3.42550845   0.00879634
196.00   3.41567813   0.00907114
198.00   3.40574714   0.00935161
200.00   3.39571547   0.00963779
202.00   3.38558312   0.00992975
204.00   3.37535011   0.01022755
206.00   3.36501644   0.01053124
208.00   3.35458210   0.01084088
210.00   3.34404711   0.01115653
212.00   3.33341147   0.01147825
214.00   3.32267518   0.01180609
216.00   3.31183826   0.01214011
218.00   3.30090069   0.01248036
220.00   3.28986250   0.01282692
222.00   3.27872368   0.01317983
224.00   3.26748424   0.01353915
226.00   3.25614418   0.01390494
228.00   3.24470351   0.01427725
230.00   3.23316223   0.01465615
232.00   3.22152035   0.01504169
234.00   3.20977787   0.01543394
236.00   3.19793481   0.01583293
238.00   3.18599115   0.01623875
240.00   3.17394692   0.01665143
242.00   3.16180211   0.01707104
244.00   3.14955673   0.01749765
246.00   3.13721078   0.01793129
248.00   3.12476428   0.01837204
250.00   3.11221722   0.01881995
252.00   3.09956961   0.01927507
254.00   3.08682146   0.01973747
256.00   3.07397277   0.02020721
258.00   3.06102355   0.02068433
260.00   3.04797380   0.02116890
262.00   3.03482353   0.02166097
264.00   3.02157275   0.02216061
266.00   3.00822146   0.02266786
268.00   2.99476966   0.02318280
270.00   2.98121737   0.02370546
272.00   2.96756458   0.02423592
274.00   2.95381131   0.02477423
276.00   2.93995757   0.02532045
278.00   2.92600334   0.02587463
280.00   2.91194865   0.02643684
282.00   2.89779350   0.02700712
284.00   2.88353790   0.02758554
286.00   2.86918184   0.02817215
288.00   2.85472534   0.02876702
290.00   2.84016841   0.02937019
292.00   2.82551105   0.02998173
294.00   2.81075326   0.03060170
296.00   2.79589506   0.03123014
298.00   2.78093645   0.03186713
300.00   2.76587743   0.03251271
302.00   2.75071801   0.03316695
304.00   2.73545821   0.03382989
306.00   2.72009802   0.03450160
308.00   2.70463745   0.03518214
310.00   2.68907652   0.03587157
312.00   2.67341522   0.03656993
314.00   2.65765356   0.03727729
316.00   2.64179155   0.03799370
318.00   2.62582920   0.03871923
320.00   2.60976652   0.03945393
322.00   2.59360350   0.04019785
324.00   2.57734016   0.04095106
326.00   2.56097651   0.04171361
328.00   2.54451255   0.04248555
330.00   2.52794829   0.04326696
332.00   2.51128374   0.04405787
334.00   2.49451890   0.04485836
336.00   2.47765378   0.04566848
338.00   2.46068839   0.04648828
340.00   2.44362274   0.04731782
342.00   2.42645683   0.04815716
344.00   2.40919067   0.04900636
346.00   2.39182427   0.04986548
348.00   2.37435764   0.05073456
350.00   2.35679078   0.05161368
352.00   2.33912370   0.05250287
354.00   2.32135641   0.05340222
356.00   2.30348892   0.05431176
358.00   2.28552123   0.05523156
360.00   2.26745336   0.05616167
362.00   2.24928530   0.05710216
364.00   2.23101708   0.05805307
366.00   2.21264869   0.05901447
368.00   2.19418014   0.05998642
370.00   2.17561145   0.06096896
372.00   2.15694262   0.06196216
374.00   2.13817366   0.06296608
376.00   2.11930457   0.06398076
378.00   2.10033537   0.06500628
380.00   2.08126607   0.06604268
382.00   2.06209666   0.06709003
384.00   2.04282717   0.06814837
386.00   2.02345759   0.06921777
388.00   2.00398794   0.07029829
390.00   1.98441823   0.07138998
392.00   1.96474846   0.07249289
394.00   1.94497864   0.07360709
396.00   1.92510879   0.07473264
398.00   1.90513890   0.07586958
400.00   1.88506900   0.07701798
402.00   1.86489908   0.07817789
404.00   1.84462916   0.07934937
406.00   1.82425924   0.08053248
408.00   1.80378934   0.08172728
410.00   1.78321946   0.08293381
412.00   1.76254961   0.08415215
414.00   1.74177980   0.08538234
416.00   1.72091004   0.08662444
418.00   1.69994034   0.08787851
420.00   1.67887071   0.08914460
422.00   1.65770116   0.09042278
424.00   1.63643170   0.09171310
426.00   1.61506233   0.09301562
428.00   1.59359306   0.09433039
430.00   1.57202391   0.09565747
432.00   1.55035489   0.09699692
434.00   1.52858599   0.09834880
436.00   1.50671725   0.09971315
438.00   1.48474865   0.10109004
440.00   1.46268021   0.10247953
442.00   1.44051195   0.10388167
444.00   1.41824387   0.10529652
446.00   1.39587598   0.10672413
448.00   1.37340829   0.10816457
450.00   1.35084081   0.10961788
452.00   1.32817355   0.11108413
454.00   1.30540652   0.11256338
456.00   1.28253974   0.11405567
458.00   1.25957320   0.11556107
460.00   1.23650692   0.11707963
462.00   1.21334092   0.11861141
464.00   1.19007519   0.12015647
466.00   1.16670975   0.12171486
468.00   1.14324462   0.12328664
470.00   1.11967979   0.12487187
472.00   1.09601529   0.12647060
474.00   1.07225112   0.12808289
476.00   1.04838729   0.12970880
478.00   1.02442381   0.13134838
480.00   1.00036070   0.13300169
482.00   0.97619796   0.13466878
484.00   0.95193560   0.13634972
486.00   0.92757364   0.13804456
488.00   0.90311208   0.13975336
490.00   0.87855094   0.14147617
492.00   0.85389022   0.14321305
494.00   0.82912994   0.14496405
496.00   0.80427011   0.14672924
498.00   0.77931074   0.14850867
500.00   0.75425183   0.15030239
502.00   0.72909341   0.15211047
504.00   0.70383548   0.15393295
506.00   0.67847805   0.15576990
508.00   0.65302113   0.15762137
510.00   0.62746474   0.15948742
512.00   0.60180889   0.16136811
514.00   0.57605358   0.16326349
516.00   0.55019882   0.16517361
518.00   0.52424464   0.16709854
520.00   0.49819104   0.16903833
522.00   0.47203803   0.17099304
524.00   0.44578562   0.17296272
