wavelength(nm)         real         imag
200.00   3.87937288   0.00039422
201.00   3.87916617   0.00040016
202.00   3.87895843   0.00040616
203.00   3.87874966   0.00041222
204.00   3.87853987   0.00041834
205.00   3.87832904   0.00042453
206.00   3.87811718   0.00043077
207.00   3.87790429   0.00043707
208.00   3.87769038   0.00044343
209.00   3.87747543   0.00044986
210.00   3.87725946   0.00045634
211.00   3.87704245   0.00046289
212.00   3.87682442   0.00046950
213.00   3.87660536   0.00047618
214.00   3.87638526   0.00048291
215.00   3.87616414   0.00048971
216.00   3.87594199   0.00049658
217.00   3.87571882   0.00050350
218.00   3.87549461   0.00051049
219.00   3.87526937   0.00051755
220.00   3.87504310   0.00052467
221.00   3.87481581   0.00053185
222.00   3.87458748   0.00053910
223.00   3.87435813   0.00054642
224.00   3.87412775   0.00055380
225.00   3.87389634   0.00056125
226.00   3.87366390   0.00056876
227.00   3.87343043   0.00057634
228.00   3.87319593   0.00058399
229.00   3.87296041   0.00059171
230.00   3.87272385   0.00059949
231.00   3.87248627   0.00060734
232.00   3.87224766   0.00061526
233.00   3.87200801   0.00062325
234.00   3.87176734   0.00063131
235.00   3.87152565   0.00063943
236.00   3.87128292   0.00064763
237.00   3.87103916   0.00065589
238.00   3.87079438   0.00066423
239.00   3.87054857   0.00067263
240.00   3.87030172   0.00068111
241.00   3.87005385   0.00068965
242.00   3.86980496   0.00069827
243.00   3.86955503   0.00070696
244.00   3.86930408   0.00071572
245.00   3.86905209   0.00072455
246.00   3.86879908   0.00073346
247.00   3.86854504   0.00074243
248.00   3.86828997   0.00075148
249.00   3.86803387   0.00076061
250.00   3.86777675   0.00076981
251.00   3.86751860   0.00077908
252.00   3.86725942   0.00078842
253.00   3.86699921   0.00079784
254.00   3.86673797   0.00080734
255.00   3.86647570   0.00081691
256.00   3.86621241   0.00082655
257.00   3.86594809   0.00083627
258.00   3.86568274   0.00084607
259.00   3.86541636   0.00085594
260.00   3.86514895   0.00086589
261.00   3.86488052   0.00087591
262.00   3.86461106   0.00088601
263.00   3.86434057   0.00089619
264.00   3.86406905   0.00090645
265.00   3.86379651   0.00091679
266.00   3.86352294   0.00092720
267.00   3.86324834   0.00093769
268.00   3.86297271   0.00094826
269.00   3.86269605   0.00095891
270.00   3.86241837   0.00096964
271.00   3.86213966   0.00098045
272.00   3.86185992   0.00099134
273.00   3.86157915   0.00100231
274.00   3.86129736   0.00101336
275.00   3.86101454   0.00102449
276.00   3.86073069   0.00103570
277.00   3.86044581   0.00104699
278.00   3.86015991   0.00105837
279.00   3.85987298   0.00106983
280.00   3.85958502   0.00108137
281.00   3.85929603   0.00109299
282.00   3.85900602   0.00110469
283.00   3.85871498   0.00111648
284.00   3.85842291   0.00112835
285.00   3.85812982   0.00114031
286.00   3.85783570   0.00115235
287.00   3.85754055   0.00116447
288.00   3.85724437   0.00117668
289.00   3.85694717   0.00118897
290.00   3.85664894   0.00120135
291.00   3.85634968   0.00121381
292.00   3.85604940   0.00122636
293.00   3.85574809   0.00123900
294.00   3.85544575   0.00125172
295.00   3.85514239   0.00126453
296.00   3.85483800   0.00127743
297.00   3.85453258   0.00129041
298.00   3.85422613   0.00130348
299.00   3.85391866   0.00131664
300.00   3.85361016   0.00132989
301.00   3.85330064   0.00134323
302.00   3.85299009   0.00135665
303.00   3.85267851   0.00137017
304.00   3.85236590   0.00138377
305.00   3.85205227   0.00139746
306.00   3.85173761   0.00141124
307.00   3.85142193   0.00142512
308.00   3.85110522   0.00143908
309.00   3.85078748   0.00145314
310.00   3.85046872   0.00146728
311.00   3.85014893   0.00148152
312.00   3.84982811   0.00149585
313.00   3.84950627   0.00151027
314.00   3.84918340   0.00152478
315.00   3.84885951   0.00153939
316.00   3.84853459   0.00155408
317.00   3.84820864   0.00156888
318.00   3.84788167   0.00158376
319.00   3.84755367   0.00159874
320.00   3.84722464   0.00161381
321.00   3.84689459   0.00162898
322.00   3.84656352   0.00164424
323.00   3.84623141   0.00165960
324.00   3.84589829   0.00167505
325.00   3.84556413   0.00169060
326.00   3.84522895   0.00170624
327.00   3.84489275   0.00172198
328.00   3.84455551   0.00173782
329.00   3.84421726   0.00175375
330.00   3.84387797   0.00176978
331.00   3.84353767   0.00178591
332.00   3.84319633   0.00180213
333.00   3.84285397   0.00181845
334.00   3.84251059   0.00183487
335.00   3.84216618   0.00185139
336.00   3.84182074   0.00186801
337.00   3.84147428   0.00188473
338.00   3.84112679   0.00190154
339.00   3.84077828   0.00191846
340.00   3.84042875   0.00193548
341.00   3.84007818   0.00195259
342.00   3.83972660   0.00196981
343.00   3.83937398   0.00198712
344.00   3.83902035   0.00200454
345.00   3.83866568   0.00202206
346.00   3.83831000   0.00203968
347.00   3.83795328   0.00205741
348.00   3.83759554   0.00207523
349.00   3.83723678   0.00209316
350.00   3.83687699   0.00211119
351.00   3.83651618   0.00212933
352.00   3.83615435   0.00214756
353.00   3.83579148   0.00216590
354.00   3.83542760   0.00218435
355.00   3.83506269   0.00220290
356.00   3.83469675   0.00222155
357.00   3.83432979   0.00224031
358.00   3.83396180   0.00225918
359.00   3.83359280   0.00227815
360.00   3.83322276   0.00229722
361.00   3.83285170   0.00231640
362.00   3.83247962   0.00233569
363.00   3.83210651   0.00235509
364.00   3.83173238   0.00237459
365.00   3.83135723   0.00239420
366.00   3.83098105   0.00241391
367.00   3.83060384   0.00243374
368.00   3.83022561   0.00245367
369.00   3.82984636   0.00247371
370.00   3.82946609   0.00249386
371.00   3.82908479   0.00251412
372.00   3.82870246   0.00253448
373.00   3.82831911   0.00255496
374.00   3.82793474   0.00257555
375.00   3.82754934   0.00259624
376.00   3.82716292   0.00261705
377.00   3.82677548   0.00263797
378.00   3.82638701   0.00265900
379.00   3.82599752   0.00268014
380.00   3.82560701   0.00270139
381.00   3.82521547   0.00272276
382.00   3.82482291   0.00274423
383.00   3.82442932   0.00276582
384.00   3.82403471   0.00278752
385.00   3.82363908   0.00280934
386.00   3.82324243   0.00283126
387.00   3.82284475   0.00285331
388.00   3.82244604   0.00287546
389.00   3.82204632   0.00289773
390.00   3.82164557   0.00292012
391.00   3.82124380   0.00294262
392.00   3.82084100   0.00296523
393.00   3.82043719   0.00298796
394.00   3.82003234   0.00301080
395.00   3.81962648   0.00303377
396.00   3.81921959   0.00305684
397.00   3.81881168   0.00308004
398.00   3.81840275   0.00310335
399.00   3.81799280   0.00312678
400.00   3.81758182   0.00315032
401.00   3.81716982   0.00317399
402.00   3.81675679   0.00319777
403.00   3.81634275   0.00322167
404.00   3.81592768   0.00324568
405.00   3.81551159   0.00326982
406.00   3.81509447   0.00329408
407.00   3.81467633   0.00331845
408.00   3.81425718   0.00334295
409.00   3.81383699   0.00336757
410.00   3.81341579   0.00339230
411.00   3.81299357   0.00341716
412.00   3.81257032   0.00344214
413.00   3.81214605   0.00346724
414.00   3.81172076   0.00349246
415.00   3.81129444   0.00351780
416.00   3.81086710   0.00354326
417.00   3.81043875   0.00356885
418.00   3.81000937   0.00359456
419.00   3.80957896   0.00362039
420.00   3.80914754   0.00364635
421.00   3.80871509   0.00367243
422.00   3.80828163   0.00369863
423.00   3.80784714   0.00372496
424.00   3.80741163   0.00375141
425.00   3.80697509   0.00377798
426.00   3.80653754   0.00380469
427.00   3.80609896   0.00383151
428.00   3.80565937   0.00385846
429.00   3.80521875   0.00388554
430.00   3.80477711   0.00391275
431.00   3.80433445   0.00394008
432.00   3.80389076   0.00396754
433.00   3.80344606   0.00399512
434.00   3.80300033   0.00402283
435.00   3.80255359   0.00405067
436.00   3.80210582   0.00407864
437.00   3.80165703   0.00410673
438.00   3.80120722   0.00413496
439.00   3.80075639   0.00416331
440.00   3.80030454   0.00419179
441.00   3.79985167   0.00422041
442.00   3.79939778   0.00424915
443.00   3.79894286   0.00427802
444.00   3.79848693   0.00430702
445.00   3.79802998   0.00433615
446.00   3.79757200   0.00436541
447.00   3.79711300   0.00439481
448.00   3.79665299   0.00442433
449.00   3.79619195   0.00445399
450.00   3.79572989   0.00448378
451.00   3.79526682   0.00451370
452.00   3.79480272   0.00454375
453.00   3.79433760   0.00457394
454.00   3.79387146   0.00460426
455.00   3.79340430   0.00463471
456.00   3.79293613   0.00466530
457.00   3.79246693   0.00469602
458.00   3.79199671   0.00472688
459.00   3.79152547   0.00475787
460.00   3.79105321   0.00478899
461.00   3.79057993   0.00482025
462.00   3.79010564   0.00485165
463.00   3.78963032   0.00488318
464.00   3.78915398   0.00491485
465.00   3.78867662   0.00494665
466.00   3.78819825   0.00497859
467.00   3.78771885   0.00501067
468.00   3.78723844   0.00504288
469.00   3.78675700   0.00507523
470.00   3.78627455   0.00510772
471.00   3.78579107   0.00514035
472.00   3.78530658   0.00517312
473.00   3.78482107   0.00520602
474.00   3.78433454   0.00523907
475.00   3.78384699   0.00527225
476.00   3.78335842   0.00530557
477.00   3.78286883   0.00533904
478.00   3.78237822   0.00537264
479.00   3.78188660   0.00540638
480.00   3.78139395   0.00544026
481.00   3.78090029   0.00547429
482.00   3.78040561   0.00550845
483.00   3.77990991   0.00554276
484.00   3.77941319   0.00557721
485.00   3.77891545   0.00561180
486.00   3.77841669   0.00564654
487.00   3.77791692   0.00568141
488.00   3.77741612   0.00571643
489.00   3.77691431   0.00575160
490.00   3.77641148   0.00578690
491.00   3.77590763   0.00582235
492.00   3.77540276   0.00585795
493.00   3.77489688   0.00589369
494.00   3.77438998   0.00592957
495.00   3.77388206   0.00596560
496.00   3.77337312   0.00600177
497.00   3.77286316   0.00603809
498.00   3.77235219   0.00607456
499.00   3.77184019   0.00611117
500.00   3.77132718   0.00614793
501.00   3.77081316   0.00618483
502.00   3.77029811   0.00622188
503.00   3.76978205   0.00625908
504.00   3.76926497   0.00629643
505.00   3.76874687   0.00633393
